replicate,seed,success,cost,nfev,Kcool_times_Kp,Kcool_times_Ki,independent_validation_rmse_C,C_th_J_K,K_cool_W_K,K_node_W_K,Kp_1_K,Ki_1_Ks,heat_a0_W,heat_a1_W_A,heat_a2_W_A2
30,20300745,True,65298.44258777285,32,3.937684944912533,0.06647600219496438,0.37264562661002965,7127.14355371088,36.91323287741805,10.642795172500525,0.10667407425377369,0.0018008718557845848,3.527025348549193,15.52418366118652,0.7588737076553704
31,20300746,True,75510.11707335981,33,4.29068935321072,0.06901866073422665,0.35342261627254806,7646.087904065684,38.063133978824986,10.750545875841567,0.11272559310533088,0.001813267945109896,16.493574574759624,16.428928933898177,0.6993952620679881
32,20300747,True,57538.31614687784,31,3.551888079007709,0.07440953519319173,0.3274565189708756,6723.2456900315965,38.32028245947516,11.159582962288791,0.09268950673220994,0.0019417794029018972,6.048769584159065,15.444829380794882,0.671494772006712
33,20300748,True,51657.72813260536,33,3.6819507999555228,0.07154703101233605,0.34888474788168494,7075.486643034386,37.79940190908614,10.70880796487666,0.09740764705249114,0.00189280854719391,2.9448041313225763,15.449707314125753,0.7260485670705671
34,20300749,True,56980.07650812034,32,5.092429169938438,0.10157622280844011,0.3084652732960562,8502.676478231931,44.18533015073087,11.501298104296003,0.11525158129556726,0.0022988675757752586,99.65689472291938,16.156934434214733,0.15075187556169126
35,20300750,True,41672.78426061164,31,3.569486219638827,0.07416212957503752,0.32788430096502674,6713.565230167232,38.3301637766357,11.181143299661285,0.09312473175015812,0.0019348242289599436,5.9067804783068665,15.428992823231358,0.6712535190394426
36,20300751,True,72099.6202232637,34,4.277877476893371,0.07132485853533652,0.37148143983139964,7666.745295442555,38.32026499591004,10.478761548999408,0.1116348615373603,0.0018612830193880207,7.5077741373821,16.495129743621746,0.8161065482754443
37,20300752,True,52382.92443245663,25,3.787273070795373,0.08064967986730139,0.31889449405731474,6612.739808784784,39.50062662984923,11.065875729543514,0.09587880988028338,0.0020417316571468584,10.070386160617339,16.0231301233604,0.6988942383828354
38,20300753,True,77872.88507226814,31,3.4641750996205336,0.09311051972651331,0.29626421821264676,7113.871301982227,39.047744024688434,10.320558919189308,0.08871639543196823,0.002384530068309273,9.750774791523169,16.038203851039224,0.7139601584819657
39,20300754,True,59970.899799836894,29,4.232675022598845,0.06640232161036826,0.3719725143687283,7533.055382297662,37.2110982586701,10.741214897852421,0.11374765112213912,0.0017844762642794793,10.563798318378556,16.40535609748243,0.7401293932026217
40,20300755,True,53761.632556291916,34,3.4661520530159864,0.07053573619703297,0.3439672396770681,6825.8376347113,37.48391712574941,11.062176610427251,0.09247037980016579,0.0018817600081763805,7.166711470097158,15.533447540857576,0.6721233395035231
41,20300756,True,55664.64580084123,8,3.5918490429268988,0.05438622032527392,0.4530028536914403,7190.465510357503,32.35936191154101,11.392319534464423,0.11099875988734689,0.0016806950790298804,4.892421153557419e-08,16.64179230638483,0.7500815795341266
42,20300757,True,46104.37069938479,34,3.748678123010175,0.069093045426724,0.3601180422478881,6826.607903955893,37.441123228360475,11.05146727573762,0.10012194613249928,0.0018453785428741672,2.750827879945388,15.59018342883934,0.7315147311607063
43,20300758,True,68619.90720740957,16,4.188993491075219,0.08152488910456505,0.31132368003163957,7480.758944323884,43.38865152200552,10.80974825716042,0.09654583270352797,0.0018789449831880095,19.95814034704825,16.340187412149586,0.6628739885223962
44,20300759,True,54531.82852456538,28,3.565868109224356,0.07417309537622205,0.3278573290216673,6729.50691494289,38.32303351053343,11.149286523351796,0.09304764739576905,0.001935470357685409,6.220049800844103,15.446394667222224,0.6704932470198581
45,20300760,True,57799.766667780095,16,4.647247070770339,0.0808263693286454,0.3225075081788938,7528.083891114965,45.098699932040645,11.169462754018289,0.1030461427440988,0.0017922106280323573,8.057729760189416e-06,18.63699830774312,0.6524774559226509
46,20300761,True,55664.102260038315,28,3.160753994555102,0.07237191370384703,0.39241433513584983,7007.16234848773,36.922182278827904,10.818334132967626,0.0856058282440027,0.001960120156422793,1.8741842446819172,14.764197878946423,0.8712995249505567
47,20300762,True,70760.99035771692,25,5.020651253920732,0.06120423656073585,0.37731286817900106,7264.768910083697,41.738316064161,10.812372236482197,0.1202887832418271,0.0014663801114221148,4.888056963339049,16.13228361530133,0.7376522439658413
48,20300763,True,53340.75846235159,28,4.9810441534450725,0.0934064827716191,0.3035499624299826,7339.526602297304,43.97733128423392,10.322702866180894,0.11326390228755878,0.0021239688731431905,3.8455292980466083,15.65212640494166,0.7767639311233038
49,20300764,True,58759.51450646036,19,3.7100135261407106,0.07261508271772642,0.4684957098705822,7537.942608238174,38.41436675917286,11.51932354179369,0.09657880212888859,0.0018903105489923731,1.3038472870221488e-07,14.30138529008073,1.1895314515260424
50,20300765,True,59446.11998695838,29,3.450228287666836,0.08075721886846593,0.3211772357745869,7240.566900417041,38.26045135359526,10.162347289398774,0.09017740684187264,0.0021107231099320874,7.763492541604115,15.887761035831373,0.7045932723286682
51,20300766,True,60468.09789338567,35,3.649581253929699,0.0712925391598227,0.3410805776146444,6942.6395396513535,38.0555268989009,10.72450928451373,0.09590147742863347,0.0018733820017581132,9.782092609692823,15.791739842866162,0.6834012306815699
52,20300767,True,52376.96655913643,31,3.5114393610937835,0.07338562180008971,0.33159459386016005,6748.231173103166,38.056053771640286,11.138623110442655,0.09227019128584844,0.0019283560571058825,6.167107045964543,15.469494754768357,0.6734021887420197
53,20300768,True,41402.64711548926,26,3.5035369185724137,0.07261393080472474,0.33430047388313266,6807.2088587106855,37.91443074935821,11.047277849231532,0.09240642281387065,0.0019152056187986919,6.5566047284731575,15.510841143454606,0.6726030231990783
54,20300769,True,71033.13081998532,19,4.5439490632978945,0.07462548258381553,0.33381404031869044,6977.477122964871,43.51012370689466,9.925110848350112,0.10443429427845675,0.0017151291751439056,1.0459787109617402e-07,18.8997849561243,0.6247477124493602
55,20300770,True,59373.495174757176,25,3.569208385543934,0.07445016161067769,0.32690405123899663,6723.205545398112,38.38067146674082,11.156729649487108,0.09299494378666276,0.001939782676162747,6.176118153308598,15.441951114697293,0.6701950284492385
56,20300771,True,61764.33504625908,24,4.7810551380858195,0.11105479628070997,0.3410061900922038,7924.99988696364,42.780223996323386,12.065960015645512,0.11175853446902738,0.0025959376998646437,129.87543779627595,14.149619115908155,0.0005464734722921606
57,20300772,True,51754.434186635204,26,3.528651467596756,0.07353021273305717,0.3306708143254039,6737.503446400282,38.126367490961336,11.153010116208721,0.09255147289951758,0.001928592141658632,6.099250192672251,15.457543651356549,0.6724788176322322
58,20300773,True,57905.64917445394,35,5.070214080719831,0.0640192429732979,0.5230090316534609,7170.515839190524,42.60379786770662,11.655076396844152,0.11900850005118951,0.001502665165488076,0.688201417868199,9.222737995405184,1.5958466721148064
59,20300774,True,49700.372377294,20,3.554155624365461,0.07436162442602738,0.3253704398218886,6726.872661710244,38.32543984353722,11.187445697087018,0.09273619921585309,0.0019402679976957108,5.430881262514953,15.341323175663447,0.6657073105525816
60,20300775,True,51119.49006101709,33,3.669782798331224,0.0714354009842432,0.340179585274912,6867.434706315421,38.129564526371325,10.854955937368123,0.09624507502028022,0.0018734911313984914,7.268869438775445,15.6846725322636,0.6877188129686364
61,20300776,True,62700.69194137653,37,3.9434372993787106,0.07134522572634241,0.35951163025927146,7285.448317176118,38.2288378180439,10.652200330183232,0.10315347063774509,0.0018662671898612537,3.3905952650302336,15.852981305031085,0.7707494039206078
62,20300777,True,50616.60001387028,36,3.335363760087621,0.06400680185384461,0.3805292995366606,7131.556588245641,36.05439390690477,10.633371377054743,0.0925092172870743,0.0017752843667020201,7.519554372757961,15.724698299894035,0.6876819422276308
63,20300778,True,64838.704171496676,8,3.960258821161617,0.07863955517302541,0.3395809549716743,7539.689353338287,38.548578762880865,10.553146354344314,0.10273423685791039,0.002040011790233597,2.8579616365293406e-11,17.576098028572574,0.7309315155236281
64,20300779,True,72912.61864002743,19,4.538768755908623,0.0874333431591258,0.2920508010003951,7380.516243858728,42.3487979886069,11.443849342051166,0.10717585791052886,0.002064600350230673,3.6884517788793005e-11,24.967761881659747,0.13965225547326515
65,20300780,True,54499.85044990367,45,3.549544870752262,0.07226139614401987,0.3338309352109193,6792.638822457153,37.973203991220664,11.07855185528992,0.09347499019500462,0.0019029575739968262,6.848377871461978,15.480446923705498,0.6685099807818431
66,20300781,True,62787.561101320076,11,5.4480400376193,0.07445754999357718,0.3594352175953886,5799.494590917357,46.25104082310648,9.334877483177262,0.11779280943008581,0.001609856744161724,74.66527104915768,1.1190796889209044e-06,1.395347442848366
67,20300782,True,37507.420954223984,19,3.5252607590612026,0.0736604878922957,0.32844673696872717,6742.924996777568,38.137032696246514,11.171598313673266,0.09243668187662021,0.0019314687767919983,5.545292956533347,15.370548474242476,0.667910698698755
68,20300783,True,50464.04628864314,31,3.5954550660352904,0.07425951097108283,0.32723073867026614,6715.5638797863985,38.416318084583786,11.170373959914942,0.09359187046814157,0.0019330199944612254,5.962854935676298,15.429565640475197,0.6705111351628559
