object_index,noise_seed,final_max_probability,mean_normalized_entropy,bank_enabled_fraction,maximum_sustained_innovation_evidence
8,2,0.5981106565601526,0.4770767571440561,0.21311475409836064,3.016984910022644
8,3,0.520714536549782,0.482673748923175,0.16393442622950818,1.9978782885175739
8,4,0.5750170063782661,0.47399113503533696,0.13114754098360656,1.851105165564007
8,5,0.6300033322156945,0.48631174498905166,0.18032786885245902,2.4732556909895074
8,6,0.5214684253684999,0.4449785955045621,0.18032786885245902,2.4950983371653175
8,7,0.5744465422041661,0.45419621524794074,0.21311475409836064,3.550729203789335
8,8,0.5268301488302726,0.44968010254827484,0.06557377049180328,2.805050379047984
8,9,0.6868523441059337,0.47097057756190464,0.18032786885245902,2.1973249979764873
9,0,0.9733006425454034,0.4963320919894466,0.7704918032786885,10.125533357125544
9,1,0.9647171666503607,0.49250559575790515,0.7377049180327869,10.991478344392053
9,2,0.9677372749641552,0.496403499291755,0.819672131147541,11.767071510589576
9,3,0.9773032733516195,0.4517501403716677,0.5081967213114754,11.365121377869913
9,4,0.9743357945141504,0.45973321582207294,0.5573770491803278,11.228576306573004
9,5,0.969534736119056,0.4511644196077115,0.5901639344262295,11.910851446272101
9,6,0.9578088357166172,0.46550122850247516,0.6557377049180327,10.969499596187543
9,7,0.9693828791159089,0.4560191480916357,0.4918032786885246,9.383692781753433
9,8,0.9602354137956205,0.4597611755101836,0.6065573770491803,11.576384771109094
9,9,0.9714408510548626,0.5008043183531373,0.6557377049180327,10.941988123853054
10,0,0.7006807754957911,0.4838689181297426,0.08196721311475409,1.6355781925704416
10,1,0.49458701392403936,0.4886889589850824,0.0,1.090036202578815
10,2,0.8414730639173552,0.44477593431066764,0.0,1.0440026172020649
10,3,0.7535816175073279,0.4753343911609308,0.03278688524590164,1.7817268163593034
10,4,0.6132452568141201,0.4650512260450189,0.0,1.411457212142416
10,5,0.8382184474247352,0.4266873482587111,0.0,0.7542918013746258
10,6,0.699990956262519,0.44750854150926195,0.01639344262295082,1.5231213703976338
10,7,0.8897910921053676,0.4284884886486712,0.0,0.9259461462904139
10,8,0.6444571716186879,0.48854853148061766,0.04918032786885246,1.6737289430160032
10,9,0.8163520394212327,0.43122744588098094,0.0,0.9865536715395086
11,0,0.9801408311025375,0.24285352402038188,0.8524590163934426,34.74473721362249
