time_s,three_node_mean_C,five_node_mean_C,three_node_hotspot_C,five_node_hotspot_C,five_node_energy_residual_W
34.0,55.57436773258208,55.566515726669685,56.274702574754635,56.2038115532677,-5.314859663485549e-12
35.0,55.57211369343657,55.56427207837736,56.260867164338464,56.18916041207827,7.677414259887883e-12
36.0,55.56948605317919,55.56165493108193,56.24664661456902,56.17417524783976,-3.11928260998684e-12
37.0,55.56650246823335,55.558681935544634,56.23206290724407,56.15887664495725,-3.5278446830488974e-12
38.0,55.563180169756265,55.555370317409825,56.21713745410911,56.14328465274024,-7.112532784958603e-12
39.0,55.55953596472714,55.55173687829223,56.20189109996447,56.127418787708955,4.433786671143025e-12
40.0,55.55558623753999,55.54779799736864,56.18634412636747,56.1112980365109,8.739675649849232e-13
41.0,55.55141855746667,55.5436412387629,56.17058786128582,56.0950124647271,1.950439809661475e-12
42.0,55.54692429052784,55.539157964591844,56.154516615781986,56.0784551618027,-5.861977570020827e-13
43.0,55.54214819710932,55.53439292978747,56.13817912856582,56.0616736629458,-7.471356866517453e-12
44.0,55.53712803173446,55.52938388392583,56.12161672583941,56.044708123096974,6.416200903913705e-12
45.0,55.53187810471823,55.52414513281953,56.10484694562611,56.02757494079363,-3.9186431877169525e-12
46.0,55.52641232212182,55.518690578165284,56.08788679509171,56.01029001269002,5.3290705182007514e-14
47.0,55.52074419003037,55.513033721819795,56.07075275733072,55.99286873965939,-3.9683811792201595e-12
48.0,55.514886819105726,55.50718767035048,56.05346079845617,55.975326033213506,-3.1796787425264483e-12
49.0,55.50885292939112,55.50116513983811,56.03602637496381,55.95767632221022,6.45172804070171e-12
50.0,55.50265485534513,55.49497846090869,56.018464441342644,55.939933559820844,-4.0607517348689726e-12
51.0,55.496304551083625,55.48863958397334,56.000789457905306,55.9221112307307,2.4584778657299466e-12
52.0,55.48981359580972,55.48216008465587,55.98301539881318,55.90422235854751,3.929301328753354e-12
53.0,55.48319319941199,55.475551169388964,55.96515576027244,55.88627951339363,5.361044941309956e-12
54.0,55.47645420821312,55.468823681160394,55.94722356887848,55.86829481965955,5.4143356464919634e-12
55.0,55.469607110851406,55.46198810539236,55.92923139008758,55.85027996389704,6.828315690654563e-12
56.0,55.46266204427882,55.4550545759371,55.911191336795646,55.83224620283186,-2.0108359422010835e-12
57.0,55.455628799859994,55.448032881173674,55.893115078005195,55.81420437147698,2.6645352591003757e-12
58.0,55.44851682955778,55.44093247019109,55.87501384756287,55.796164891328246,-1.2363443602225743e-12
59.0,55.44133525219124,55.43376245904396,55.85689845295072,55.778137778625684,-5.7482907322992105e-12
60.0,55.43409285975323,55.42653163706772,55.8387792841157,55.7601326526647,5.933031843596837e-13
61.0,55.4267981237754,55.419248473241225,55.82066632232264,55.74215874414221,3.47455397786689e-12
62.0,55.41945920172898,55.41192112258524,55.802569149017046,55.724224903523854,-1.6413537196058314e-12
63.0,55.41208394345066,55.404557432585854,55.78449695468501,55.706339609419366,-2.4868995751603507e-13
64.0,55.404679897583385,55.39716494963305,55.76645854769812,55.68851097695394,8.704148513061227e-12
65.0,55.39725431802277,55.38975092546468,55.74846236313251,55.670746766124374,-1.9326762412674725e-12
66.0,55.389814170360076,55.38232232360715,55.7305164715516,55.6530543901294,-2.3021584638627246e-12
67.0,55.382366138313806,55.37488582580467,55.71262858774307,55.63544092366463,-4.476419235288631e-13
68.0,55.374916630141904,55.367447838429214,55.69480607940117,55.617913111173,4.384048679639818e-12
69.0,55.36747178502785,55.360014498864246,55.677055975746356,55.600477375042395,-1.0018652574217413e-12
70.0,55.360037479433636,55.352591681855586,55.65938497607461,55.5831398237428,-4.320099833421409e-12
71.0,55.35261933341385,55.34518500582307,55.6417994582297,55.56590625989596,6.231459792616079e-12
72.0,55.345222716884926,55.33779983912781,55.62430548699194,55.54878218827099,4.476419235288631e-13
73.0,55.3378527558447,55.33044130628932,55.606908822377946,55.53177282370004,-1.8900436771218665e-12
74.0,55.330514338537064,55.32311429414828,55.58961492784585,55.51488309890864,-1.8403056856186595e-12
75.0,55.32321212155771,55.315823457969955,55.57242897840153,55.498117672255816,3.225864020350855e-12
76.0,55.315950535896754,55.308573227484786,55.55535586860143,55.48148093537945,5.972111694063642e-12
77.0,55.30873379291453,55.301367812862146,55.53840022044819,55.46497702074302,-4.622080496119452e-12
78.0,55.3015658902475,55.29421121061425,55.521566391175675,55.44860980908,-6.551204023708124e-12
79.0,55.29445061764099,55.28710720942674,55.50485848092038,55.43238293673283,1.787014980436652e-12
80.0,55.28739156270614,55.28005939591385,55.48828034027655,55.416299802883536,1.3180567748349858e-12
81.0,55.28036825434123,55.27304729805004,55.471811715475106,55.400339714428405,2.0037305148434825e-12
82.0,55.2733133407383,55.26600356290545,55.455385637412874,55.38443527196127,-4.924061158817494e-12
83.0,55.266329259942694,55.259030626544664,55.439105504152316,55.36868944590957,5.6132876125047915e-12
84.0,55.25951951982868,55.25223199606538,55.42307488096722,55.35320539385576,-7.8053119523247e-12
85.0,55.25280011919691,55.24552367081144,55.40720890601996,55.33789786876908,4.618527782440651e-14
86.0,55.24615426014147,55.23888885244626,55.391490630159204,55.32274954004547,1.77280412572145e-12
87.0,55.239584271867635,55.232329869563955,55.375922361715595,55.307762343237954,-4.227729277772596e-12
88.0,55.23309232466784,55.22584889189388,55.3605062156655,55.292938030580245,5.4853899200679734e-12
89.0,55.226680434908644,55.2194479352861,55.34524412005981,55.27827817715627,2.8421709430404007e-13
90.0,55.22035046992837,55.2131288666072,55.33013782232585,55.26378418694914,2.8883562208648073e-12
91.0,55.214104152844754,55.20689340854648,55.31518889544249,55.24945729876957,-4.600764214046649e-12
92.0,55.20794306727248,55.20074314433191,55.3003987439886,55.23529859206374,1.666222715357435e-12
93.0,55.20186866195047,55.194679522355855,55.285768610065375,55.224461369082924,-1.3216094885137863e-12
94.0,55.19588225527886,55.18870386071067,55.27129957909287,55.213863287149195,-4.636291350834654e-12
95.0,55.189985039765816,55.182817351633936,55.25699258548156,55.20339536947845,1.0302869668521453e-13
96.0,55.184178086384264,55.177021065863855,55.242848418179555,55.1930586501904,5.716316309190006e-12
97.0,55.17853872620063,55.171392334241986,55.228944103457984,55.18544246679438,1.2718714970105793e-12
98.0,55.17303119022788,55.165895388501255,55.215242893316116,55.187232424509496,-4.902744876744691e-13
99.0,55.16760314848037,55.16047789900581,55.20169176454136,55.189029529015876,-4.430233957464225e-12
100.0,55.16215305493055,55.155038319522134,55.18818890730502,55.19073262011461,7.016609515630989e-12
101.0,55.15679719259265,55.14969293165677,55.17485119245668,55.19245752045785,-4.806821607417078e-12
102.0,55.15153598760796,55.14444216150423,55.16167864268067,55.194205176156835,-1.4424017535930034e-12
103.0,55.14625883727069,55.13917540636781,55.15924276288989,55.19586551737559,-2.7711166694643907e-13
