time_s,current_A,true_T1_C,EKF_T1_C,true_T2_C,EKF_T2_C,true_T3_C,EKF_T3_C,true_T4_C,EKF_T4_C,true_T5_C,EKF_T5_C,true_hotspot_C,EKF_hotspot_C
980.0,24.00139664804482,55.3900878228289,55.02252914753003,55.35394022089608,55.19994958519523,55.33073305673655,55.05931239476919,55.307525893060095,55.1350068620418,55.27137829190894,54.86410257302586,55.3900878228289,55.19994958519523
981.0,24.00139664804482,55.39823559744489,55.03374096527304,55.353936628490665,55.20345904101744,55.32172515278934,55.05052873097609,55.28951367756074,55.11513658540587,55.245214709371446,54.833498653902986,55.39823559744489,55.20345904101744
982.0,24.00139664804482,55.406302820013444,55.04916458709418,55.35398222215868,55.217504797776,55.31281503732006,55.045146321517166,55.271647852944035,55.09822560753943,55.21932725583781,54.80420289947708,55.406302820013444,55.217504797776
983.0,24.00139664804482,55.41429343988188,55.058397747250176,55.35407796573661,55.216523969439095,55.30400476879278,55.037249808401334,55.25393157230165,55.085228051629265,55.193716098888885,54.77709435964127,55.41429343988188,55.216523969439095
984.0,24.00139664804482,55.42221126281784,55.07784158632104,55.3542247686562,55.2399153520715,55.29529628026368,55.0311139763532,55.23636779231416,55.05461727066319,55.16838129886935,54.742662427677715,55.42221126281784,55.2399153520715
985.0,24.00139664804482,55.4300599544411,55.091751590269794,55.35442348625101,55.24910172891158,55.28669138246776,55.020357372426275,55.21895927911803,55.018730369516284,55.14332281162942,54.70640353990851,55.4300599544411,55.24910172891158
986.0,24.00139664804482,55.43784304359904,55.102042581608785,55.35467492012246,55.251399334414515,55.27819176687055,55.01885491255596,55.20170861404288,55.02753641110604,55.118540491252766,54.688701408727646,55.43784304359904,55.251399334414515
987.0,24.00139664804482,55.44556392568619,55.113733467731265,55.35497981856189,55.256520823532135,55.26979900868393,55.01344175957966,55.18461819922114,55.016227436344955,55.0940340927686,54.6633334752317,55.44556392568619,55.256520823532135
988.0,24.00139664804482,55.453225865908394,55.11991108437153,55.35533887702473,55.248281220073615,55.261514569845396,55.00428827610576,55.167690263072345,55.002407451978854,55.069803274846066,54.63754003153626,55.453225865908394,55.248281220073615
989.0,24.00139664804482,55.46083200249206,55.127965692038934,55.355752738653656,55.24474441864846,55.253339801960145,54.99379931833511,55.15092686566422,54.97844715704418,55.04584760246913,54.60782968799103,55.46083200249206,55.24474441864846
