time_s,stress_current_A,PI_SMC_Tmax_C,MPC_Tmax_C,PI_SMC_gradient_C,MPC_gradient_C,PI_SMC_duty,MPC_duty
15.0,12.017174294513744,56.49305420894687,55.33102236901997,1.7322424059814097,1.294761238843705,0.04465726654349324,0.06836048495638757
16.0,12.017385806116668,56.49691246731797,55.323104261308714,1.711856859352082,1.2718539763353363,0.046533448888739296,0.06836048495638757
17.0,12.017550315141161,56.49970279119731,55.315290459938396,1.6912063239968802,1.2491433982566278,0.04836389946528549,0.06836048495638757
18.0,12.017667821587228,56.50145368620945,55.30757912087164,1.6703030072508014,1.226626350834394,0.050148857521167614,0.06836048495638757
19.0,12.01773832545487,56.50219358809514,55.299968440694215,1.6491589975352738,1.20429976510367,0.05188859367338153,0.06836048495638757
20.0,12.017761826744081,56.50195083411493,55.29245665547996,1.6277862542648194,1.1821606541986753,0.05358340823646055,0.06359701053896216
21.0,12.01773832545487,56.500753635844134,55.28786782100496,1.606196598428184,1.1612887139388945,0.05523362959094798,0.06359701053896216
22.0,12.017667821587228,56.49863005334177,55.28336694441994,1.5844017038268987,1.1405885826787312,0.056839612592725464,0.06359701053896216
23.0,12.017550315141161,56.49560797067376,55.27895244425437,1.5624130889534982,1.1200576342594175,0.05840173702397203,0.06359701053896216
24.0,12.017385806116668,56.491715072768216,55.27462277274825,1.5402421094910679,1.0996933116703786,0.05992040608637718,0.06359701053896216
25.0,12.017174294513744,56.48697882357864,55.270376414917735,1.5178999514152949,1.0794931248545794,0.06139604493707642,0.06359701053896216
26.0,12.016915780332393,56.48142644552899,55.26621188764755,1.4953976246800167,1.0594546485864527,0.06282909926763322,0.06359701053896216
27.0,12.016849976722597,56.47508490021287,55.26212773880935,1.4727459574666497,1.0395755204197457,0.06422003392626018,0.06359701053896216
28.0,12.01687034450658,56.4679817021904,55.25812337823713,1.4499555909779644,1.0198534387031657,0.0655693903196442,0.06359701053896216
29.0,12.016992551210492,56.46014366326673,55.25419787432218,1.4270369611012796,1.0002861606614388,0.06687769932593915,0.06359701053896216
30.0,12.016992551210492,56.451597318054894,55.25035037774014,1.4040003007150048,0.9808715005396635,0.06814551040117008,0.06530456875159364
31.0,12.016992551210492,56.44236807544514,55.245567732348185,1.3808556353444885,0.9612259348496011,0.06937333156871434,0.06530456875159364
32.0,12.016992551210492,56.43248144197616,55.24086292782924,1.357612792888247,0.9417322082797384,0.0705617139894764,0.06530456875159364
33.0,12.016992551210492,56.42196256613452,55.23623481810421,1.3342813937920681,0.9223882517992905,0.0717112204149802,0.06530456875159364
34.0,12.016992551210492,56.41083622710826,55.23168228288339,1.3108708487737388,0.9031920475490054,0.07282242410883877,0.06530456875159364
35.0,12.016992551210492,56.399126824536175,55.227204226953006,1.2873903569531535,0.8841416272411351,0.07389590780952468,0.06530456875159364
36.0,12.016992551210492,56.38685836921762,55.22279957948236,1.2638489043688068,0.8652350706121652,0.07493226273380085,0.06530456875159364
37.0,12.016992551210492,56.3740544747477,55.2184672933511,1.240255262861659,0.8464705039264544,0.07593208762011358,0.06530456875159364
38.0,12.016992551210492,56.36073835004269,55.21420634449592,1.2166179893080198,0.8278460985291574,0.07689598781120283,0.06530456875159364
39.0,12.016992551210492,56.346932792720736,55.21001573127631,1.192945425183332,0.8093600694467611,0.07782457437514906,0.06530456875159364
40.0,12.016992551210492,56.33266018330321,55.20589447385861,1.1692456964391198,0.7910106740336786,0.07871846326403364,0.06626318248512637
41.0,12.016992551210492,56.317942480202184,55.20127456051989,1.1455267136757712,0.7725856395653707,0.07957827450936703,0.06626318248512637
