time_s,digitized_paper_T1_C,reproduction_T1_C,digitized_paper_T2_C,reproduction_T2_C,digitized_paper_T3_C,reproduction_T3_C,fan_duty,airflow_direction
737.0,54.10015746390837,53.89026298753433,55.005263331332486,55.00000638417085,56.222969745157144,56.10975356485009,0.061935417977782896,1
738.0,54.10022130236928,53.890167603161515,55.00551949566368,55.00000635971786,56.22283592832087,56.10984884570064,0.061935425359916134,1
739.0,54.10057113927122,53.89007275002817,55.005693386083436,55.00000633147027,56.22271955738634,56.10994358851083,0.061935432439234495,1
740.0,54.10110828361757,53.88997842530636,55.00613287139116,55.00000629958311,56.22273144296649,56.11003779640726,0.06193543922127047,1
741.0,54.101832735408344,53.88988462618161,55.00629977842394,55.00000626420851,56.22275244181952,56.110131472497436,0.061935445711571564,1
742.0,54.102474856742035,53.889791349852764,55.00627202707863,55.00000622549563,56.22281139536511,56.110224619869825,0.0619354519156951,1
743.0,54.10296591638887,53.88969859353189,55.00603570712691,55.00000618359075,56.22261683280047,56.11031724159397,0.06193545783920556,1
744.0,54.103483976580506,53.88960635444422,55.00514432474269,55.00000613863718,56.22253831446221,56.11040934072058,0.06193546348766838,1
745.0,54.104019613043036,53.88951462982804,55.00426031214067,55.00000609077535,56.22253307927804,56.11050092028161,0.061935468866648344,1
746.0,54.10456340150252,53.88942341693461,55.00345254191478,55.00000604014275,56.22262450573017,56.11059198329037,0.061935473981704334,1
747.0,54.10510591768502,53.88933271302808,55.00272101406499,55.000005986873965,56.222807913095885,56.1106825327416,0.06193547883838573,1
748.0,54.105637737316606,53.88924251538541,55.00168310306965,55.00000593110068,56.2232686579949,56.11077257161157,0.061935483442229246,1
749.0,54.106149436123346,53.8891528212963,55.00020634761722,55.00000587295168,56.223744151882606,56.1108621028582,0.061935487798754775,1
750.0,54.1066315898313,53.8890636280631,54.99916582609801,55.00000581255289,56.22423439475903,56.11095112942112,0.06193549191346378,1
751.0,54.10735234259455,53.88897493300075,54.99846733032836,55.000005750027356,56.22473938662415,56.111039654221784,0.0619354957918342,1
752.0,54.108234519033864,53.88888673343671,54.99813389951662,55.00000568549527,56.225259127477976,56.111127680163584,0.06193549943931835,1
753.0,54.10909968465872,53.88879902671089,54.9985960690517,55.000005619074,56.22579361732051,56.111215210131924,0.061935502861340856,1
754.0,54.10954077209303,53.88871181017557,54.99940110152603,55.0000055508781,56.22599913089145,56.111302246994335,0.06193550606329364,1
755.0,54.10992635055386,53.88862508119536,55.00031423042235,55.00000548101932,56.22630325221126,56.111388793600575,0.06193550905053588,1
756.0,54.1102469957673,53.88853883714711,55.00166917870492,55.00000540960664,56.226750308352386,56.11147485278272,0.06193551182838955,1
757.0,54.110493283459405,53.88845307541988,55.00295219150456,55.000005336746284,56.22691584415331,56.11156042735527,0.06193551440213744,1
758.0,54.110655789356244,53.888367793414865,55.00429017295263,55.00000526254174,56.22708339831955,56.11164552011527,0.06193551677702174,1
759.0,54.1107250891839,53.88828298854533,55.00554423909489,55.00000518709379,56.22723614852217,56.11173013384238,0.06193551895824016,1
760.0,54.11069175866842,53.88819865823657,55.006669946626175,55.00000511050054,56.22735727243217,56.111814271299,0.06193552095094558,1
761.0,54.1105463735359,53.88811479992585,55.007973279731125,55.00000503285743,56.227565779780804,56.11189793523036,0.061935522760243174,1
762.0,54.11027950951237,53.88803141106236,55.0092535170821,55.00000495425728,56.22825712252653,56.111981128364654,0.06193552439118819,1
763.0,54.10988174232391,53.887948489107146,55.010501939654986,55.00000487479029,56.228901161699966,56.112063853413105,0.061935525848784694,1
764.0,54.10989193310546,53.887866031533086,55.011728332987545,55.00000479454411,56.22945070682011,56.11214611307008,0.06193552713798381,1
765.0,54.110027485578854,53.88778403582483,55.01294248261756,55.00000471360383,56.22990575788695,56.112227910013225,0.06193552826368212,1
766.0,54.11013377882311,53.88770249947874,55.01366166466849,55.00000463205203,56.23026631490049,56.11230924690353,0.061935529230720515,1
767.0,54.11015057287926,53.88762142000288,55.01391582791218,55.000004549968814,56.23053237786074,56.11239012638544,0.0619355300438816,1
768.0,54.11008905121903,53.88754079491693,55.01397648725135,55.000004467431815,56.23070394676769,56.112470551087,0.06193553070788921,1
769.0,54.10996039731415,53.88746062175217,55.01397375735334,55.00000438451627,56.230781021621326,56.11255052361991,0.061935531227407824,1
770.0,54.109677103639726,53.88738089805143,55.0135924496593,55.000004301295,56.230763602421675,56.112630046579646,0.06193553160703975,1
771.0,54.10932001790043,53.887301621369076,55.01250946236175,55.0000042178385,56.230651689168724,56.11270912254559,0.061935531851325595,1
772.0,54.10889856437015,53.88722278927091,55.01110077215708,55.00000413421493,56.23044528186247,56.1127877540811,0.0619355319647425,1
773.0,54.10835584556577,53.887144399334176,55.009354630117116,55.00000405049017,56.23014438050292,56.11286594373363,0.061935531951703336,1
774.0,54.10747499009551,53.88706644914753,55.00729982111589,55.00000396672783,56.23001157363467,56.11294369403485,0.061935531816555874,1
775.0,54.106693058087316,53.88698893631098,55.00555878074957,55.00000388298933,56.229861504637995,56.11302100750072,0.06193553156358266,1
776.0,54.10623005921613,53.88691185843583,55.003758116143494,55.00000379933389,56.22969885423561,56.11309788663162,0.061935531196998836,1
