scenario,purpose,time_s,flow_region,measured_C,predicted_C,error_C,scored,current_A,phase,absolute_error_C
ramp_4A,final_confirmation,1350.0,inlet,41.7859778597786,42.99599866818555,1.210020808406952,True,24.0,decreasing,1.210020808406952
ramp_4A,final_confirmation,1350.0,intermediate,47.09963099630996,46.17737241363238,-0.9222585826775784,True,24.0,decreasing,0.9222585826775784
ramp_4A,final_confirmation,1350.0,outlet,48.87084870848709,49.14107912666549,0.2702304181784001,True,24.0,decreasing,0.2702304181784001
ramp_4A,final_confirmation,1450.0,inlet,38.68634686346864,39.83190192295134,1.145555059482696,True,20.0,decreasing,1.145555059482696
ramp_4A,final_confirmation,1450.0,intermediate,43.380073800738,42.35499387192067,-1.025079928817334,True,20.0,decreasing,1.025079928817334
ramp_4A,final_confirmation,1450.0,outlet,44.70848708487085,44.68821906203244,-0.0202680228384153,True,20.0,decreasing,0.0202680228384153
ramp_4A,final_confirmation,1550.0,inlet,36.11808118081181,36.72762528698851,0.6095441061767062,True,16.0,decreasing,0.6095441061767062
ramp_4A,final_confirmation,1550.0,intermediate,39.74907749077491,38.67136080104658,-1.0777166897283266,True,16.0,decreasing,1.0777166897283266
ramp_4A,final_confirmation,1550.0,outlet,40.90036900369004,40.45514426082501,-0.4452247428650295,True,16.0,decreasing,0.4452247428650295
ramp_4A,final_confirmation,1650.0,inlet,33.284132841328415,33.70964756124551,0.4255147199170963,True,12.0,decreasing,0.4255147199170963
ramp_4A,final_confirmation,1650.0,intermediate,35.9409594095941,35.15033419754659,-0.7906252120475088,True,12.0,decreasing,0.7906252120475088
ramp_4A,final_confirmation,1650.0,outlet,36.82656826568265,36.46254435599355,-0.3640239096891022,True,12.0,decreasing,0.3640239096891022
ramp_4A,final_confirmation,1750.0,inlet,30.538745387453872,30.80166765152168,0.2629222640678037,True,8.0,decreasing,0.2629222640678037
ramp_4A,final_confirmation,1750.0,intermediate,32.398523985239855,31.812374323171227,-0.5861496620686282,True,8.0,decreasing,0.5861496620686282
ramp_4A,final_confirmation,1750.0,outlet,32.752767527675275,32.72711013737211,-0.0256573903031664,True,8.0,decreasing,0.0256573903031664
ramp_4A,final_confirmation,1850.0,inlet,28.32472324723247,28.025026939909004,-0.2996963073234653,True,4.0,decreasing,0.2996963073234653
ramp_4A,final_confirmation,1850.0,intermediate,29.033210332103323,28.67506250416005,-0.3581478279432737,True,4.0,decreasing,0.3581478279432737
ramp_4A,final_confirmation,1850.0,outlet,29.387453874538743,29.26215161232295,-0.1253022622157935,True,4.0,decreasing,0.1253022622157935
ramp_4A,final_confirmation,1950.0,inlet,27.616236162361623,25.39906757052612,-2.217168591835506,True,0.0,decreasing,2.217168591835506
ramp_4A,final_confirmation,1950.0,intermediate,27.70479704797048,25.75354286021341,-1.9512541877570653,True,0.0,decreasing,1.9512541877570653
ramp_4A,final_confirmation,1950.0,outlet,27.43911439114391,26.078120441682035,-1.360993949461875,True,0.0,decreasing,1.360993949461875
