scenario,seed,single_zone_RMSE_C,single_Tmax_RMSE_C,single_maximum_absolute_error_C,single_q95_absolute_error_C,single_hotspot_zone_accuracy_percent,gated_zone_RMSE_C,gated_Tmax_RMSE_C,gated_maximum_absolute_error_C,gated_q95_absolute_error_C,gated_hotspot_zone_accuracy_percent,Tmax_RMSE_improvement_percent,bank_enabled_fraction
nominal,0,0.03965291061319705,0.03760732479323109,0.21135433390378822,0.07116486787329361,100.0,0.03965291061319705,0.03760732479323109,0.21135433390378822,0.07116486787329361,100.0,-0.0,0.0
nominal,1,0.045807877336667795,0.05385831858856171,0.14365590993259758,0.08370431267346876,100.0,0.045807877336667795,0.05385831858856171,0.14365590993259758,0.08370431267346876,100.0,-0.0,0.0
nominal,2,0.034574424910380874,0.04384366605189665,0.14138170983837384,0.07388940313862585,100.0,0.034574424910380874,0.04384366605189665,0.14138170983837384,0.07388940313862585,100.0,-0.0,0.0
nominal,3,0.04043337206403061,0.044026607189665716,0.27886798814524383,0.07726004599397063,100.0,0.04043337206403061,0.044026607189665716,0.27886798814524383,0.07726004599397063,100.0,-0.0,0.0
nominal,4,0.048006133217218507,0.04980753880865259,0.23434827931833624,0.09239300559678161,100.0,0.048006133217218507,0.04980753880865259,0.23434827931833624,0.09239300559678161,100.0,-0.0,0.0
nominal,5,0.04140365826707493,0.04875947043215559,0.13524584251317862,0.08436144530800413,97.5,0.04140365826707493,0.04875947043215559,0.13524584251317862,0.08436144530800413,97.5,-0.0,0.0
nominal,6,0.03119880942583939,0.03679538937411098,0.07893645409922101,0.059112767415557856,100.0,0.03119880942583939,0.03679538937411098,0.07893645409922101,0.059112767415557856,100.0,-0.0,0.0
nominal,7,0.03459467151774413,0.03861533202912754,0.1767803316760741,0.0666834475444826,100.0,0.03459467151774413,0.03861533202912754,0.1767803316760741,0.0666834475444826,100.0,-0.0,0.0
nominal,8,0.044111982819048885,0.04442154356877409,0.23983255081142474,0.08936017785356327,100.0,0.044111982819048885,0.04442154356877409,0.23983255081142474,0.08936017785356327,100.0,-0.0,0.0
nominal,9,0.057667831464378226,0.05577501832475577,0.3705122383532711,0.10037020112510582,100.0,0.057667831464378226,0.05577501832475577,0.3705122383532711,0.10037020112510582,100.0,-0.0,0.0
pure_measurement_noise,0,0.04815836722492299,0.04730034759987932,0.35939829972937787,0.06552072364794696,100.0,0.0481735343559841,0.04729501093216598,0.35939829972937787,0.06552072364794696,100.0,0.01128251267513147,0.024390243902439025
pure_measurement_noise,1,0.036543405112061854,0.038338573707071465,0.15079785695713355,0.06579741942872432,100.0,0.036543405112061854,0.038338573707071465,0.15079785695713355,0.06579741942872432,100.0,-0.0,0.0
pure_measurement_noise,2,0.08819326560113498,0.07873040726465286,0.5649874792932117,0.1839151249682849,100.0,0.08819326560113498,0.07873040726465286,0.5649874792932117,0.1839151249682849,100.0,-0.0,0.0
pure_measurement_noise,3,0.03202141160344271,0.03320660750185057,0.14680826799086333,0.0598738090396651,100.0,0.047390413607717424,0.06616970745727006,0.31843372174954965,0.06230578146237663,100.0,-99.26668947914207,0.04878048780487805
pure_measurement_noise,4,0.05190820990901509,0.03676185284172092,0.4595532365036661,0.0775718090386051,100.0,0.05190820990901509,0.03676185284172092,0.4595532365036661,0.0775718090386051,100.0,-0.0,0.0
pure_measurement_noise,5,0.04011745290019544,0.035685763318923626,0.26933548631493665,0.08175181184112662,100.0,0.04011745290019544,0.035685763318923626,0.26933548631493665,0.08175181184112662,100.0,-0.0,0.0
pure_measurement_noise,6,0.03774917024326929,0.03837145390820779,0.24760327229007117,0.053827462162891485,100.0,0.03774917024326929,0.03837145390820779,0.24760327229007117,0.053827462162891485,100.0,-0.0,0.0
pure_measurement_noise,7,0.048977427561810956,0.04129395785199712,0.31577941421025457,0.10559570065994578,100.0,0.048962485057483913,0.041299170968648755,0.31577941421025457,0.10559570065994578,100.0,-0.012624405416214136,0.024390243902439025
pure_measurement_noise,8,0.0630933050272852,0.05857769576125057,0.28301087554729776,0.14793393453472703,100.0,0.0630933050272852,0.05857769576125057,0.28301087554729776,0.14793393453472703,100.0,-0.0,0.0
pure_measurement_noise,9,0.04532117284982562,0.04336324611987795,0.2872348709948511,0.0720091314751181,100.0,0.04532117284982562,0.04336324611987795,0.2872348709948511,0.0720091314751181,100.0,-0.0,0.0
