config_id,fan_weight,hotspot_weight,gradient_weight,dwell,switch_weight,maximum_duty_step,duty_move_weight,controller,maximum_hotspot_C,maximum_hotspot_excess_C,hotspot_excess_rmse_C,gradient_rmse_C,fan_energy_proxy_duty2_h,direction_switch_count,mean_temperature_tracking_rmse_C,maximum_energy_residual_W,reference_unattainable_at_saturation_fraction,energy_relative_difference_percent,within_5pct_equal_energy
604,10.0,0.5,1.0,30.0,1.0,0.05,0.8,Hotspot-MPC,59.93600292494091,4.936002924940908,1.8352772849622598,0.6378966637821528,0.005173611111111112,21,1.6155439262647682,1.0800249583553523e-12,0.0,8.02081462516031,False
605,10.0,0.5,1.0,30.0,4.0,0.05,0.8,Hotspot-MPC,60.30256395941167,5.302563959411671,2.0273497919752757,0.6655167355590689,0.004895833333333334,17,1.7947624778544895,1.3642420526593924e-12,0.0,2.2210393432724906,True
606,10.0,0.5,1.0,30.0,10.0,0.05,0.8,Hotspot-MPC,59.777364505111635,4.777364505111635,1.6974709850642649,0.8407158784530265,0.005159722222222223,10,1.4207222357204388,9.876544027065393e-13,0.0,7.730825861065904,False
607,10.0,0.5,1.0,30.0,30.0,0.05,0.8,Hotspot-MPC,59.64762429616727,4.6476242961672725,1.7398777282377875,1.6092977118039196,0.004909722222222223,4,1.261578400093401,1.1439738045737613e-12,0.0,2.511028107366897,True
608,10.0,0.5,1.0,60.0,1.0,0.05,0.8,Hotspot-MPC,60.01551513642187,5.015515136421868,1.7448054539241191,0.6860108436403886,0.005048611111111111,16,1.507657584862661,1.2221335055073723e-12,0.0,5.410915748310785,False
609,10.0,0.5,1.0,60.0,4.0,0.05,0.8,Hotspot-MPC,60.1336056049625,5.133605604962497,1.9407778306379242,0.6869749942019031,0.0049027777777777785,15,1.7033913930079694,1.1084466677857563e-12,0.0,2.366033725319694,True
610,10.0,0.5,1.0,60.0,10.0,0.05,0.8,Hotspot-MPC,59.777364505111635,4.777364505111635,1.6974709850642649,0.8407158784530265,0.005159722222222223,10,1.4207222357204388,9.876544027065393e-13,0.0,7.730825861065904,False
611,10.0,0.5,1.0,60.0,30.0,0.05,0.8,Hotspot-MPC,59.64762429616727,4.6476242961672725,1.7398777282377875,1.6092977118039196,0.004909722222222223,4,1.261578400093401,1.1439738045737613e-12,0.0,2.511028107366897,True
612,10.0,0.5,2.0,10.0,1.0,0.05,0.8,Hotspot-MPC,61.39016340918485,6.390163409184851,2.338399479405063,0.6080432016669589,0.004875,23,2.1181125792343174,9.663381206337363e-13,0.0,1.786056197130903,True
613,10.0,0.5,2.0,10.0,4.0,0.05,0.8,Hotspot-MPC,60.188623463298676,5.188623463298676,2.0921532807872247,0.6215111038040662,0.004812500000000001,19,1.8701201629252715,1.0800249583553523e-12,0.0,0.4811067587061624,True
614,10.0,0.5,2.0,10.0,10.0,0.05,0.8,Hotspot-MPC,60.82760990305896,5.827609903058963,2.4039754629896573,0.6393800615591845,0.004625000000000001,16,2.175380458015884,1.0800249583553523e-12,0.0,-3.433741556568104,True
615,10.0,0.5,2.0,10.0,30.0,0.05,0.8,Hotspot-MPC,60.92715972222393,5.9271597222239265,2.52673177972383,1.0142502298619476,0.004437500000000001,8,2.1582490599427953,1.1368683772161603e-12,0.0,-7.348589871842348,False
616,10.0,0.5,2.0,30.0,1.0,0.05,0.8,Hotspot-MPC,61.39016340918485,6.390163409184851,2.338399479405063,0.6080432016669589,0.004875,23,2.1181125792343174,9.663381206337363e-13,0.0,1.786056197130903,True
617,10.0,0.5,2.0,30.0,4.0,0.05,0.8,Hotspot-MPC,60.188623463298676,5.188623463298676,2.0921532807872247,0.6215111038040662,0.004812500000000001,19,1.8701201629252715,1.0800249583553523e-12,0.0,0.4811067587061624,True
618,10.0,0.5,2.0,30.0,10.0,0.05,0.8,Hotspot-MPC,60.82760990305896,5.827609903058963,2.4039754629896573,0.6393800615591845,0.004625000000000001,16,2.175380458015884,1.0800249583553523e-12,0.0,-3.433741556568104,True
619,10.0,0.5,2.0,30.0,30.0,0.05,0.8,Hotspot-MPC,60.92715972222393,5.9271597222239265,2.52673177972383,1.0142502298619476,0.004437500000000001,8,2.1582490599427953,1.1368683772161603e-12,0.0,-7.348589871842348,False
620,10.0,0.5,2.0,60.0,1.0,0.05,0.8,Hotspot-MPC,60.24221014867784,5.242210148677842,2.0662542687475987,0.6655167353916897,0.004868055555555557,16,1.826945249702203,9.237055564881302e-13,0.0,1.6410618150837442,True
621,10.0,0.5,2.0,60.0,4.0,0.05,0.8,Hotspot-MPC,61.05554577048003,6.05554577048003,2.2765459955375023,0.6412407058430549,0.004631944444444445,16,2.0577520272277687,9.947598300641403e-13,0.0,-3.288747174520912,True
622,10.0,0.5,2.0,60.0,10.0,0.05,0.8,Hotspot-MPC,60.40860311315098,5.408603113150981,2.215231324760752,0.6810009522338224,0.004784722222222222,14,1.962953675094479,1.2150280781497713e-12,0.0,-0.09887076948262852,True
623,10.0,0.5,2.0,60.0,30.0,0.05,0.8,Hotspot-MPC,60.92715972222393,5.9271597222239265,2.52673177972383,1.0142502298619476,0.004437500000000001,8,2.1582490599427953,1.1368683772161603e-12,0.0,-7.348589871842348,False
624,10.0,1.0,0.2,10.0,1.0,0.05,0.8,Hotspot-MPC,58.09600110632738,3.0960011063273782,1.013594762202577,0.766914599290771,0.005604166666666667,15,0.7959628746465571,9.094947017729282e-13,0.0,17.01046631208638,False
