scenario,sensor_count,sensor_nodes_1_based,node_1_rmse_C,node_2_rmse_C,node_3_rmse_C,node_4_rmse_C,node_5_rmse_C,mean_node_rmse_C,hotspot_rmse_C,hotspot_position_accuracy,maximum_absolute_error_C,q95_absolute_error_C
capacity_plus_12pct,3,"1,2,4",0.04875004777164079,0.050799230106466475,0.04379248458532094,0.05437322092854306,0.038185717381041075,0.04751737957705887,0.04780641089593081,0.8084929225645295,0.3788434832905594,0.09301814423879767
capacity_plus_12pct,3,"1,4,5",0.04920778740259507,0.04027482276808621,0.04017865562026663,0.053757970546551646,0.053054313098889576,0.047670686156569324,0.04811204319049061,0.8251457119067444,0.5179567918904695,0.09705785621989947
capacity_plus_12pct,3,"1,3,4",0.049068489662454924,0.029659864173193162,0.049395767700384015,0.05401799426374455,0.04297090401894425,0.04580787788955141,0.0504773904996767,0.8451290591174022,0.36827714000823875,0.09058465032931906
capacity_plus_12pct,3,"1,2,3",0.048750739144999417,0.05040812162186557,0.049593345086582155,0.04206692639906673,0.059035734783048764,0.050263222036682785,0.06535466069240567,0.8234804329725229,0.325040240360309,0.09425313771990745
conduction_plus_20pct,1,5,0.08545346382576408,0.06477977442834654,0.041813162677658715,0.032269998208862824,0.052259906185053245,0.058342959826850636,0.05609729621156178,0.9159034138218152,0.29999999999999716,0.1304633575859171
conduction_plus_20pct,1,4,0.08378075304932323,0.06041077261949753,0.034108664553749724,0.04971745946335736,0.052230912608799494,0.05836432306653648,0.06426155890815667,0.9109075770191507,0.4576277543900318,0.1312154936508464
conduction_plus_20pct,1,2,0.035874681942879044,0.05157193119510244,0.04556099963132429,0.06853799877726335,0.08910209668076204,0.06108862821900759,0.07679387194080238,0.9159034138218152,0.40426454690160796,0.1355033320399017
conduction_plus_20pct,1,3,0.06494396689939214,0.03964195788135589,0.04980449817003734,0.05630515364943487,0.08446792682450388,0.06095045970094396,0.07683703178139276,0.9042464612822648,0.3931342240664435,0.13777488518339856
conduction_plus_20pct,1,1,0.05291481606994928,0.0347912371466164,0.03215831249773428,0.0580016233044648,0.0839349680375152,0.05559466192004823,0.07926819426290038,0.9117402164862615,0.3211278322140032,0.1280835597093173
conduction_plus_20pct,2,"3,5",0.047553436726459127,0.02900757591555928,0.04961349833165184,0.0283039028486193,0.05203515020981721,0.04259820605500055,0.03798959518101443,0.8975853455453788,0.35262265495364886,0.0849933597765145
conduction_plus_20pct,2,"2,5",0.03601341817282279,0.051374674861292234,0.026267372479176456,0.026811464610062726,0.052121896348474195,0.04015431502603831,0.04088705043960924,0.8992506244796004,0.4034231120219687,0.08303691843689623
conduction_plus_20pct,2,"4,5",0.06641034164796977,0.04195633598144448,0.027549827093750232,0.048885792960360545,0.05137225453886986,0.04890519373124522,0.042524334065151825,0.8792672772689425,0.3050742031871181,0.09873116720689697
conduction_plus_20pct,2,"2,4",0.03605602200130006,0.05127123875877062,0.024432851580758697,0.04960656133242282,0.04352647634760882,0.04214523924063276,0.044566032312251334,0.890924229808493,0.4157799989306312,0.08328023766009811
conduction_plus_20pct,2,"1,5",0.052850423976662245,0.034619695754910515,0.02322685274123378,0.02703519460260677,0.05216985289761393,0.03995941099540374,0.050022299319302375,0.8859283930058285,0.3255154058891492,0.08552517340300625
conduction_plus_20pct,2,"3,4",0.04725993489351447,0.029455087499446923,0.04900517735641274,0.049014966738188684,0.05195065779086412,0.046052033272640576,0.05080688010530859,0.8767693588676103,0.527009517069942,0.0861513326155759
conduction_plus_20pct,2,"1,4",0.052800834469947405,0.033577403479254406,0.02291884516280471,0.04964534941765605,0.051502793497831816,0.04372148685854479,0.059552273627644786,0.8792672772689425,0.4668532731018402,0.08818774406331614
conduction_plus_20pct,2,"2,3",0.03769952584799846,0.05092587526276016,0.04927719975112752,0.04509637964158446,0.06678961380301465,0.05086743045306772,0.0659908739481893,0.8742714404662781,0.407939922488616,0.09654692968449163
conduction_plus_20pct,2,"1,3",0.05267161052711381,0.030178720932493422,0.04972418097977642,0.05369723776235629,0.0781727363810346,0.055048920031834585,0.07992564514116778,0.8676103247293921,0.4019963803064215,0.10846530857869544
conduction_plus_20pct,2,"1,2",0.05217515389990178,0.05098455951595929,0.04220354846239405,0.06382828992698411,0.08498260531701557,0.060661198962439315,0.0805285267008891,0.8634471273938384,0.32220126039172925,0.12831589286129913
conduction_plus_20pct,3,"3,4,5",0.04718326255733632,0.02940402044573985,0.04900674766032408,0.047938932761309574,0.05137237067352831,0.045672266733943576,0.03804554270391337,0.8542880932556203,0.329507446662312,0.09084386127949531
conduction_plus_20pct,3,"2,4,5",0.03676991136252135,0.051266049859799476,0.028510933200243498,0.048685723560866374,0.05137218639586525,0.044277553626008964,0.0399019081525224,0.8467943380516236,0.39739600980446,0.08955532481798517
conduction_plus_20pct,3,"2,3,5",0.03772772597995581,0.05092630738656942,0.0489351693871472,0.02875260063488769,0.052023038390177787,0.0445973753963482,0.041076343209455204,0.8484596169858452,0.4081336335523318,0.09040339806606995
conduction_plus_20pct,3,"1,4,5",0.05277688618391769,0.030742006557599073,0.022904226834514544,0.048749759146128224,0.05137232972274422,0.043059794628614805,0.049265482436948206,0.8426311407160699,0.2864208625036184,0.09033642665630738
conduction_plus_20pct,3,"1,2,5",0.052175082134043003,0.050712510008132795,0.026325654863201212,0.02679150560795398,0.05210698952438369,0.04340497920983431,0.04959746091126697,0.8559533721898418,0.2638844372114093,0.09170078238836227
conduction_plus_20pct,3,"1,3,5",0.05265201959850742,0.028278173872310835,0.049408372435653096,0.02933380929823535,0.05203812667108037,0.04377560176051289,0.04970036955833794,0.8601165695253955,0.32715000776255465,0.09131398917582062
conduction_plus_20pct,3,"2,3,4",0.03772304569283767,0.05092574162655124,0.04824949136557182,0.049015032839158174,0.05190467810772626,0.04783522093036676,0.05272083615031703,0.8351373855120733,0.5267250354076651,0.09066823115605872
conduction_plus_20pct,3,"1,2,4",0.05217504586352615,0.050560895303651654,0.02489015569962989,0.04960352945916671,0.04443100755491165,0.04545939718621602,0.05336169174186389,0.858451290591174,0.42939329360875433,0.0905478523878202
conduction_plus_20pct,3,"1,3,4",0.05263917639331111,0.0276406777432387,0.04877111235466105,0.04901498756851853,0.051965236594971716,0.04693903743899331,0.05968377298741994,0.8417985012489592,0.5269795324125326,0.09111972946069642
conduction_plus_20pct,3,"1,2,3",0.05217564215056785,0.050069066152615235,0.0492787367204343,0.045158415075847225,0.06685743469570425,0.053229318872654766,0.0714809342956825,0.8426311407160699,0.37477545995861306,0.1033083683159589
cooling_minus_15pct,1,3,0.4183331836280352,0.2732850763897507,0.05890058652837237,0.2696413628212659,0.4097980032388223,0.3142602528471398,0.39379034229239834,0.9383846794338052,0.8465383653601819,0.6823112006268447
cooling_minus_15pct,1,2,0.14528332022354754,0.05828684315489846,0.36843858134682217,0.6183439386955979,0.7455987752303147,0.4687255801834441,0.6302554411988992,0.5778517901748543,1.3812036525465103,1.070944848950913
cooling_minus_15pct,1,4,0.7570222973859692,0.6289528162091408,0.3769021408113117,0.0593061461600746,0.13906555557690772,0.47614621183526445,0.6422786086558984,0.559533721898418,1.3644843713383992,1.0880466479263902
cooling_minus_15pct,1,1,0.06410370529461029,0.4174665376237927,0.7202957018750155,0.9203641929869639,1.0193175252666056,0.7187895322353963,0.8953275957856703,0.488759367194005,1.8035916269479628,1.551408208182862
cooling_minus_15pct,1,5,1.0282810805179408,0.9274815038858915,0.724345533911964,0.41866131331958767,0.061719467576853336,0.7240644945097419,0.9085809912700792,0.5237302248126561,1.8072793984213718,1.5653729233085432
cooling_minus_15pct,2,"2,5",0.18016856998137784,0.05613465425057088,0.17990856330685123,0.18615214879985947,0.058237043941738335,0.14561804830307132,0.1460731441680786,0.5936719400499584,0.603626408004601,0.32456202132149203
cooling_minus_15pct,2,"1,4",0.060603551102456084,0.18875937402355236,0.18457096962573524,0.056930505824802,0.17656247732788355,0.1468228356967694,0.14869786930509915,0.5945045795170691,0.44184840109009116,0.3211578498867411
cooling_minus_15pct,2,"2,4",0.18972440925418543,0.05517937221690734,0.10065306147758396,0.05578371481974591,0.19046582620211258,0.13308659373494838,0.17535475429714314,0.9342214820982515,0.6083965835801308,0.30192341182375204
cooling_minus_15pct,2,"1,5",0.061572537900884745,0.25741890535925627,0.3384735418589338,0.25671843046299875,0.0591964740022569,0.22540123507741944,0.22930808806828573,0.11490424646128226,0.6785401824033457,0.4892310175600756
cooling_minus_15pct,2,"1,3",0.05927888149654464,0.10169926541338084,0.05654578167827185,0.3016697716806206,0.4520212146539855,0.24995278812040145,0.3561387367027476,0.6519567027477102,0.8901053002561099,0.5792359206138361
cooling_minus_15pct,2,"3,5",0.45405968254567847,0.3014671022798652,0.05654034146773774,0.1030139959860234,0.05705868993056353,0.2506459641603631,0.35644968531417176,0.6536219816819318,0.9120719878073089,0.5677486829554967
cooling_minus_15pct,2,"3,4",0.45491544547573315,0.3038728543664187,0.05498119022200403,0.054499989129280196,0.19640576218808453,0.26224232216298793,0.3653216635578416,0.765195670274771,0.9281827860121865,0.5760133438773323
cooling_minus_15pct,2,"2,3",0.19673748808833263,0.05380812047771042,0.05478389177301106,0.3064104718380696,0.45645335681002147,0.2633777788810639,0.3658129819154231,0.7593671940049959,0.8981781859260778,0.5882677404879391
