time_s,experiment_T1_C,experiment_T2_C,experiment_T3_C,paper_simulation_T1_C,paper_simulation_T2_C,paper_simulation_T3_C,reference_C
920.0,53.91425908667288,54.79030754892824,56.108729419074244,54.11004871689731,54.99667591093501,56.22153868486759,55.00257041074634
921.0,53.91425908667288,54.79981360671016,56.33122087604846,54.11060001336169,54.99737794866095,56.22092351538663,55.00168885018736
922.0,53.95153774464119,54.88235476856166,56.38794656725691,54.110958913273734,54.997840232858024,56.22030473326733,55.00151088026522
923.0,53.95153774464119,54.99734389561977,56.44474992233613,54.11112541663344,54.99824869816811,56.219691762783626,55.00073855835831
924.0,53.95599565082323,55.12025473749612,56.44474992233613,54.111099523440814,54.99887725797161,56.219094028209426,55.00000601268694
925.0,53.95599565082323,55.12025473749612,56.44474992233613,54.110791954407446,54.99960590356427,56.218520953818704,54.99927346701557
926.0,53.981174277726,55.12025473749612,56.41904318111215,54.110030528048625,55.00058176356933,56.21780914469141,54.99854092134421
927.0,54.15242311276794,55.12025473749612,56.38083255669463,54.10921115811222,55.00169642742229,56.21699275910842,54.99780837567285
928.0,54.20316868592731,55.12025473749612,56.38083255669463,54.10832442032432,55.002643700463075,56.216361701872344,54.99707583000148
929.0,54.20316868592731,55.132913948431224,56.38083255669463,54.10753976784238,55.00295976076724,56.215915972983126,54.99634328433011
930.0,54.20316868592731,55.351351351351354,56.4412861136999,54.10707133430657,55.001930535811056,56.2156555724408,54.99561073865874
931.0,54.004954954954954,55.351351351351354,56.467847157502334,54.10666594916334,55.002143502411954,56.21558050024536,54.99487819298737
932.0,53.970922646784715,55.351351351351354,56.47238272755514,54.10632361241274,55.00265767509061,56.21569075639681,54.994145647316
933.0,53.92250698974837,55.285461323392354,56.51001863932898,54.10604432405474,55.00423062410707,56.21582691359447,54.993413101644634
934.0,53.810997204100644,55.20969245107176,56.52749301025163,54.10621070961103,55.005558928396525,56.216058026634826,54.99268055597328
935.0,53.80534327430879,55.20969245107176,56.52749301025163,54.106303491587894,55.00663366003012,56.216511855687486,54.99194801030191
936.0,53.80534327430879,55.20969245107176,56.53072382727556,54.10633209425928,55.00713255281929,56.217273450112536,54.99121546463054
937.0,53.80534327430879,55.23664181422802,56.53072382727556,54.10630594189911,55.00708359685763,56.21780487235391,54.990482918959174
938.0,53.873035104069594,55.23664181422802,56.53072382727556,54.10623445878134,55.00606804652292,56.21853832275557,54.98968890092378
939.0,53.886859273066165,55.23664181422802,56.53072382727556,54.10612706917988,55.00500746700735,56.21948115068049,54.98741321811417
940.0,53.94097545821684,55.151289220254746,56.53072382727556,54.105993197368655,55.00375835489176,56.220455400705404,54.98682978660749
