curve,duty_ratio_percent,data_value
corotation_mass_flow_kg_s,2.4038461538461537,4.2139917695473226e-05
corotation_mass_flow_kg_s,2.4725274725274726,4.2411880479513366e-05
corotation_mass_flow_kg_s,2.541208791208791,4.268384326355345e-05
corotation_mass_flow_kg_s,2.60989010989011,4.295580604759348e-05
corotation_mass_flow_kg_s,2.6785714285714284,4.322776883163357e-05
corotation_mass_flow_kg_s,2.7472527472527473,4.3499731615673654e-05
corotation_mass_flow_kg_s,2.815934065934066,4.377169439971374e-05
corotation_mass_flow_kg_s,2.8846153846153846,4.404365718375377e-05
corotation_mass_flow_kg_s,2.9532967032967035,4.431561996779386e-05
corotation_mass_flow_kg_s,3.021978021978022,4.458758275183394e-05
corotation_mass_flow_kg_s,3.090659340659341,4.4859545535873974e-05
corotation_mass_flow_kg_s,3.159340659340659,4.5131508319914114e-05
corotation_mass_flow_kg_s,3.228021978021978,4.5403471103954254e-05
corotation_mass_flow_kg_s,3.2967032967032965,4.5675433887994285e-05
corotation_mass_flow_kg_s,3.3653846153846154,4.594739667203437e-05
corotation_mass_flow_kg_s,3.434065934065934,4.6219359456074456e-05
corotation_mass_flow_kg_s,3.5027472527472527,4.649132224011454e-05
corotation_mass_flow_kg_s,3.5714285714285716,4.676328502415457e-05
corotation_mass_flow_kg_s,3.64010989010989,4.676328502415457e-05
corotation_mass_flow_kg_s,3.708791208791209,4.714975845410629e-05
corotation_mass_flow_kg_s,3.7774725274725274,4.714975845410629e-05
corotation_mass_flow_kg_s,3.8461538461538463,4.7536231884058e-05
corotation_mass_flow_kg_s,3.9148351648351647,4.7536231884058e-05
corotation_mass_flow_kg_s,3.9835164835164836,4.7922705314009664e-05
corotation_mass_flow_kg_s,4.052197802197802,4.7922705314009664e-05
corotation_mass_flow_kg_s,4.1208791208791204,4.830917874396138e-05
corotation_mass_flow_kg_s,4.18956043956044,4.830917874396138e-05
corotation_mass_flow_kg_s,4.258241758241758,4.869565217391304e-05
corotation_mass_flow_kg_s,4.326923076923077,4.869565217391304e-05
corotation_mass_flow_kg_s,4.395604395604396,4.9082125603864754e-05
corotation_mass_flow_kg_s,4.464285714285714,4.9468599033816415e-05
corotation_mass_flow_kg_s,4.532967032967033,4.9468599033816415e-05
corotation_mass_flow_kg_s,4.601648351648351,4.985507246376813e-05
corotation_mass_flow_kg_s,4.670329670329671,4.985507246376813e-05
corotation_mass_flow_kg_s,4.739010989010989,5.024154589371979e-05
corotation_mass_flow_kg_s,4.8076923076923075,5.0628019323671505e-05
corotation_mass_flow_kg_s,4.876373626373627,5.0628019323671505e-05
corotation_mass_flow_kg_s,4.945054945054945,5.1014492753623166e-05
corotation_mass_flow_kg_s,5.013736263736264,5.140096618357488e-05
corotation_mass_flow_kg_s,5.082417582417582,5.140096618357488e-05
corotation_mass_flow_kg_s,5.1510989010989015,5.140096618357488e-05
corotation_mass_flow_kg_s,5.21978021978022,5.140096618357488e-05
corotation_mass_flow_kg_s,5.288461538461538,5.140096618357488e-05
corotation_mass_flow_kg_s,5.357142857142857,5.168724279835393e-05
corotation_mass_flow_kg_s,5.425824175824176,5.197351941313297e-05
corotation_mass_flow_kg_s,5.4945054945054945,5.2259796027911965e-05
corotation_mass_flow_kg_s,5.563186813186813,5.254607264269101e-05
corotation_mass_flow_kg_s,5.631868131868132,5.283234925747006e-05
corotation_mass_flow_kg_s,5.700549450549451,5.311862587224905e-05
corotation_mass_flow_kg_s,5.769230769230769,5.3404902487028095e-05
corotation_mass_flow_kg_s,5.837912087912088,5.3691179101807195e-05
corotation_mass_flow_kg_s,5.906593406593407,5.397745571658613e-05
corotation_mass_flow_kg_s,5.975274725274725,5.426373233136518e-05
corotation_mass_flow_kg_s,6.043956043956044,5.4550008946144225e-05
corotation_mass_flow_kg_s,6.112637362637362,5.4836285560923217e-05
corotation_mass_flow_kg_s,6.181318681318682,5.512256217570232e-05
corotation_mass_flow_kg_s,6.25,5.540883879048131e-05
corotation_mass_flow_kg_s,6.318681318681318,5.56951154052603e-05
corotation_mass_flow_kg_s,6.387362637362638,5.5981392020039347e-05
corotation_mass_flow_kg_s,6.456043956043956,5.626766863481845e-05
corotation_mass_flow_kg_s,6.524725274725275,5.655394524959744e-05
corotation_mass_flow_kg_s,6.593406593406593,5.684022186437643e-05
corotation_mass_flow_kg_s,6.662087912087912,5.7126498479155477e-05
corotation_mass_flow_kg_s,6.730769230769231,5.741277509393447e-05
corotation_mass_flow_kg_s,6.799450549450549,5.769905170871357e-05
corotation_mass_flow_kg_s,6.868131868131868,5.7985328323492615e-05
