velocity_m_s,flow_coordinate_inlet_0_outlet_1,temperature_K,direct_pixel_count,palette_uncertainty_K
4.0,0.933852140077821,336.51724137931035,997,1.5
4.0,0.9377431906614786,336.51724137931035,999,1.5
4.0,0.9416342412451362,336.51724137931035,997,1.5
4.0,0.9455252918287937,336.51724137931035,992,1.5
4.0,0.9494163424124513,336.51724137931035,975,1.5
4.0,0.9533073929961089,336.51724137931035,986,1.5
4.0,0.9571984435797666,336.51724137931035,1003,1.5
4.0,0.9610894941634242,336.51724137931035,1014,1.5
4.0,0.9649805447470817,336.51724137931035,1027,1.5
4.0,0.9688715953307393,336.51724137931035,1014,1.5
4.0,0.9727626459143969,336.51724137931035,994,1.5
4.0,0.9766536964980544,336.51724137931035,983,1.5
4.0,0.980544747081712,336.51724137931035,986,1.5
4.0,0.9844357976653697,336.51724137931035,970,1.5
4.0,0.9883268482490273,336.51724137931035,961,1.5
4.0,0.9922178988326849,295.12619222303744,925,1.5
4.0,0.9961089494163424,295.03154805575934,1250,1.5
4.0,1.0,295.03154805575934,9,1.5
5.0,0.0,338.0,6,1.5
5.0,0.00390625,324.27659574468083,20,1.5
5.0,0.0078125,324.1819515774028,518,1.5
5.0,0.01171875,324.1819515774028,618,1.5
5.0,0.015625,324.27659574468083,610,1.5
5.0,0.01953125,324.27659574468083,588,1.5
5.0,0.0234375,324.1819515774028,584,1.5
5.0,0.02734375,324.27659574468083,599,1.5
5.0,0.03125,324.27659574468083,627,1.5
5.0,0.03515625,324.27659574468083,621,1.5
5.0,0.0390625,324.62362435803374,618,1.5
5.0,0.04296875,324.62362435803374,617,1.5
5.0,0.046875,324.62362435803374,618,1.5
5.0,0.05078125,324.62362435803374,618,1.5
5.0,0.0546875,324.62362435803374,617,1.5
5.0,0.05859375,324.62362435803374,620,1.5
5.0,0.0625,324.62362435803374,619,1.5
5.0,0.06640625,324.62362435803374,625,1.5
5.0,0.0703125,324.62362435803374,623,1.5
5.0,0.07421875,324.62362435803374,625,1.5
5.0,0.078125,324.62362435803374,622,1.5
5.0,0.08203125,324.62362435803374,622,1.5
5.0,0.0859375,324.62362435803374,622,1.5
5.0,0.08984375,324.7498165810712,622,1.5
5.0,0.09375,324.8444607483492,622,1.5
5.0,0.09765625,325.6331621423331,625,1.5
5.0,0.1015625,325.6331621423331,625,1.5
5.0,0.10546875,325.6331621423331,628,1.5
5.0,0.109375,325.6331621423331,624,1.5
5.0,0.11328125,325.6331621423331,629,1.5
5.0,0.1171875,325.6331621423331,632,1.5
5.0,0.12109375,325.6331621423331,631,1.5
5.0,0.125,325.6331621423331,630,1.5
5.0,0.12890625,325.6331621423331,641,1.5
5.0,0.1328125,325.6331621423331,635,1.5
5.0,0.13671875,325.6331621423331,639,1.5
5.0,0.140625,325.6331621423331,639,1.5
5.0,0.14453125,325.6331621423331,640,1.5
5.0,0.1484375,325.6331621423331,639,1.5
5.0,0.15234375,325.6331621423331,641,1.5
5.0,0.15625,325.6331621423331,642,1.5
5.0,0.16015625,325.6331621423331,647,1.5
5.0,0.1640625,325.6331621423331,647,1.5
5.0,0.16796875,325.6331621423331,652,1.5
5.0,0.171875,325.6331621423331,652,1.5
5.0,0.17578125,325.6331621423331,652,1.5
5.0,0.1796875,325.6331621423331,656,1.5
5.0,0.18359375,325.6331621423331,653,1.5
5.0,0.1875,325.6331621423331,654,1.5
5.0,0.19140625,326.07483492296404,660,1.5
5.0,0.1953125,326.2010271460015,656,1.5
5.0,0.19921875,326.2010271460015,658,1.5
5.0,0.203125,326.2010271460015,655,1.5
5.0,0.20703125,326.2010271460015,659,1.5
5.0,0.2109375,326.2010271460015,659,1.5
5.0,0.21484375,326.2010271460015,660,1.5
5.0,0.21875,326.2010271460015,655,1.5
5.0,0.22265625,326.5480557593544,662,1.5
5.0,0.2265625,326.5480557593544,656,1.5
5.0,0.23046875,326.6426999266324,658,1.5
5.0,0.234375,326.6426999266324,657,1.5
5.0,0.23828125,326.76889214966985,657,1.5
5.0,0.2421875,326.76889214966985,657,1.5
5.0,0.24609375,326.76889214966985,655,1.5
5.0,0.25,326.8635363169479,646,1.5
5.0,0.25390625,327.08437270726336,650,1.5
5.0,0.2578125,327.2105649303008,646,1.5
5.0,0.26171875,327.2105649303008,645,1.5
5.0,0.265625,327.2105649303008,640,1.5
5.0,0.26953125,327.2105649303008,646,1.5
5.0,0.2734375,327.2105649303008,647,1.5
5.0,0.27734375,327.2105649303008,641,1.5
5.0,0.28125,327.2105649303008,637,1.5
