duty_ratio_percent,corotation_mass_flow_kg_s,reversion_mass_flow_kg_s
10.302197802197803,6.967972803721597e-05,4.096618357487923e-05
10.370879120879122,6.996600465199498e-05,4.096618357487923e-05
10.43956043956044,7.025228126677406e-05,4.096618357487923e-05
10.508241758241759,7.053855788155305e-05,4.096618357487923e-05
10.576923076923078,7.082483449633206e-05,4.0966183574879236e-05
10.645604395604396,7.111111111111109e-05,4.135265700483089e-05
10.714285714285715,7.111111111111109e-05,4.13526570048309e-05
10.782967032967035,7.11111111111111e-05,4.1739130434782605e-05
10.851648351648352,7.149758454106281e-05,4.1739130434782605e-05
10.920329670329672,7.149758454106282e-05,4.1739130434782605e-05
10.989010989010989,7.188405797101452e-05,4.1739130434782605e-05
11.057692307692308,7.227053140096618e-05,4.1739130434782605e-05
11.126373626373628,7.227053140096618e-05,4.1739130434783005e-05
11.195054945054945,7.227053140096618e-05,5.719806763285028e-05
11.263736263736265,7.304347826086956e-05,7.26570048309179e-05
11.332417582417584,7.304347826086957e-05,7.342995169082129e-05
11.401098901098901,7.342995169082127e-05,7.420289855072465e-05
11.46978021978022,7.342995169082129e-05,6.832850241545879e-05
11.53846153846154,7.381642512077293e-05,6.245410628019308e-05
11.607142857142858,7.381642512077293e-05,5.6579710144927524e-05
11.675824175824177,7.420289855072466e-05,5.070531400966172e-05
11.744505494505496,7.497584541062805e-05,4.48309178743961e-05
11.813186813186814,7.613526570048312e-05,4.4444444444444447e-05
11.881868131868133,7.613526570048312e-05,4.4444444444444447e-05
11.95054945054945,7.613526570048312e-05,4.4444444444444447e-05
12.01923076923077,7.613526570048312e-05,4.4444444444444447e-05
12.08791208791209,7.574879227053141e-05,4.4444444444444447e-05
12.156593406593407,7.652173913043478e-05,4.4444444444444447e-05
12.225274725274726,7.574879227053141e-05,4.444444444444445e-05
12.293956043956046,7.613526570048312e-05,4.483091787439611e-05
12.362637362637363,7.613526570048312e-05,4.483091787439611e-05
12.431318681318682,7.652173913043479e-05,4.4444444444444447e-05
12.500000000000002,7.690821256038644e-05,4.444444444444445e-05
12.56868131868132,7.690821256038644e-05,4.483091787439611e-05
12.637362637362639,7.690821256038644e-05,4.521739130434782e-05
12.706043956043958,7.690821256038644e-05,4.521739130434782e-05
12.774725274725276,7.690821256038644e-05,4.521739130434782e-05
12.843406593406595,7.690821256038644e-05,4.521739130434782e-05
12.912087912087912,7.690821256038644e-05,4.521739130434782e-05
12.980769230769232,7.690821256038644e-05,4.521739130434782e-05
13.049450549450551,7.690821256038645e-05,4.521739130434783e-05
13.118131868131869,7.729468599033815e-05,4.560386473429954e-05
13.186813186813188,7.690821256038644e-05,4.521739130434783e-05
13.255494505494507,7.690821256038645e-05,4.5603864734299544e-05
13.324175824175825,7.724315619967793e-05,4.59903381642512e-05
13.392857142857144,7.757809983896943e-05,4.637681159420291e-05
13.461538461538463,7.791304347826092e-05,4.637681159420291e-05
13.530219780219781,7.824798711755234e-05,4.637681159420291e-05
13.5989010989011,7.858293075684385e-05,4.64822134387352e-05
13.667582417582418,7.891787439613527e-05,4.658761528326743e-05
13.736263736263737,7.925281803542677e-05,4.669301712779977e-05
13.804945054945057,7.95877616747182e-05,4.6798418972332056e-05
13.873626373626374,7.992270531400968e-05,4.690382081686429e-05
13.942307692307693,8.025764895330113e-05,4.7009222661396574e-05
14.010989010989013,8.059259259259262e-05,4.7114624505928805e-05
14.07967032967033,8.092753623188404e-05,4.7220026350461145e-05
14.14835164835165,8.126247987117549e-05,4.732542819499343e-05
14.217032967032969,8.159742351046698e-05,4.743083003952572e-05
14.285714285714286,8.193236714975846e-05,4.7536231884058e-05
14.354395604395606,8.193236714975846e-05,4.7922705314009664e-05
14.423076923076925,8.193236714975846e-05,4.7922705314009664e-05
14.491758241758243,8.193236714975847e-05,4.792270531400967e-05
14.560439560439562,8.231884057971013e-05,4.830917874396138e-05
14.62912087912088,8.309178743961355e-05,4.830917874396138e-05
14.697802197802199,8.309178743961355e-05,4.8309178743961385e-05
14.766483516483518,8.309178743961354e-05,4.869565217391304e-05
14.835164835164836,8.270531400966183e-05,4.869565217391304e-05
14.903846153846155,8.309178743961356e-05,4.869565217391303e-05
14.972527472527474,8.347826086956521e-05,4.830917874396138e-05
15.041208791208792,8.347826086956521e-05,4.830917874396138e-05
15.109890109890111,8.347826086956521e-05,4.8695652173913046e-05
15.17857142857143,8.347826086956522e-05,4.908212560386475e-05
15.247252747252748,8.386473429951692e-05,4.869565217391304e-05
15.315934065934067,8.386473429951694e-05,4.8695652173913046e-05
15.384615384615387,8.425120772946857e-05,4.9082125603864754e-05
15.453296703296704,8.386473429951692e-05,4.9082125603864754e-05
15.521978021978024,8.386473429951692e-05,4.9082125603864754e-05
15.590659340659341,8.386473429951692e-05,4.9082125603864754e-05
15.65934065934066,8.386473429951694e-05,4.9468599033816415e-05
15.72802197802198,8.463768115942029e-05,4.9468599033816415e-05
15.796703296703297,8.425120772946859e-05,4.9468599033816415e-05
15.865384615384617,8.46376811594203e-05,4.9082125603864754e-05
15.934065934065936,8.46376811594203e-05,4.908212560386476e-05
16.002747252747255,8.46376811594203e-05,4.9468599033816435e-05
16.071428571428573,8.46376811594203e-05,4.985507246376813e-05
16.14010989010989,8.496313246885334e-05,5.024154589371979e-05
16.20879120879121,8.528858377828629e-05,5.024154589371979e-05
16.27747252747253,8.561403508771927e-05,5.024154589371979e-05
16.346153846153847,8.593948639715231e-05,5.024154589371979e-05
16.414835164835168,8.626493770658531e-05,5.0628019323671505e-05
16.483516483516485,8.659038901601836e-05,5.0628019323671505e-05
16.552197802197803,8.691584032545133e-05,5.0628019323671505e-05
16.620879120879124,8.724129163488433e-05,5.0628019323671526e-05
16.68956043956044,8.756674294431732e-05,5.1014492753623166e-05
16.75824175824176,8.78921942537503e-05,5.1014492753623166e-05
16.826923076923077,8.821764556318334e-05,5.1014492753623166e-05
16.895604395604398,8.854309687261634e-05,5.1014492753623186e-05
16.964285714285715,8.886854818204932e-05,5.140096618357488e-05
17.032967032967033,8.919399949148236e-05,5.140096618357488e-05
17.101648351648354,8.951945080091536e-05,5.140096618357488e-05
17.17032967032967,8.984490211034834e-05,5.140096618357488e-05
17.23901098901099,9.017035341978133e-05,5.1787439613526596e-05
17.30769230769231,9.049580472921433e-05,5.2173913043478256e-05
17.376373626373628,9.082125603864736e-05,5.2173913043478256e-05
17.445054945054945,9.082125603864736e-05,5.2173913043478256e-05
17.513736263736266,9.082125603864736e-05,5.217391304347828e-05
17.582417582417584,9.082125603864736e-05,5.256038647342992e-05
17.6510989010989,9.082125603864736e-05,5.294685990338163e-05
17.719780219780223,9.082125603864736e-05,5.294685990338163e-05
17.78846153846154,9.082125603864736e-05,5.294685990338163e-05
17.857142857142858,9.082125603864736e-05,5.294685990338163e-05
17.92582417582418,9.043478260869563e-05,5.3333333333333326e-05
17.994505494505496,9.004830917874392e-05,5.294685990338163e-05
18.063186813186814,8.966183574879227e-05,5.294685990338163e-05
18.131868131868135,9.236714975845406e-05,5.3333333333333306e-05
18.200549450549453,9.120772946859907e-05,5.256038647342996e-05
18.26923076923077,9.120772946859907e-05,5.333333333333335e-05
18.33791208791209,9.159420289855067e-05,5.333333333333337e-05
18.40659340659341,9.120772946859913e-05,5.371980676328502e-05
18.475274725274726,9.236714975845411e-05,5.294685990338163e-05
18.543956043956044,9.159420289855068e-05,5.294685990338163e-05
18.612637362637365,9.159420289855068e-05,5.333333333333337e-05
18.681318681318682,9.159420289855068e-05,5.371980676328506e-05
18.75,9.19806763285024e-05,5.371980676328506e-05
18.81868131868132,9.198067632850244e-05,5.371980676328508e-05
18.88736263736264,9.275362318840583e-05,5.410628019323667e-05
18.956043956043956,9.314009661835754e-05,5.410628019323667e-05
19.024725274725277,9.352657004830915e-05,5.449275362318836e-05
19.093406593406595,9.352657004830915e-05,5.410628019323667e-05
19.162087912087912,9.391304347826086e-05,9.468599033816429e-05
19.230769230769234,9.429951690821258e-05,9.494363929146538e-05
19.29945054945055,9.429951690821258e-05,9.520128824476654e-05
19.36813186813187,9.468599033816429e-05,9.545893719806761e-05
19.43681318681319,9.46859903381643e-05,9.57165861513688e-05
19.505494505494507,9.507246376811595e-05,9.597423510466992e-05
19.574175824175825,9.507246376811595e-05,9.623188405797104e-05
19.642857142857146,9.584541062801934e-05,5.6811594202898564e-05
19.711538461538463,9.623188405797108e-05,5.6811594202898564e-05
19.78021978021978,9.700483091787442e-05,5.6811594202898564e-05
19.848901098901102,9.739130434782608e-05,5.642512077294685e-05
19.91758241758242,9.739130434782608e-05,5.642512077294685e-05
19.986263736263737,9.739130434782608e-05,5.642512077294685e-05
20.05494505494506,9.777777777777778e-05,5.6811594202898564e-05
20.123626373626376,9.739130434782608e-05,5.6811594202898564e-05
20.192307692307693,9.739130434782608e-05,5.6811594202898564e-05
20.26098901098901,9.77777777777778e-05,5.6811594202898564e-05
20.329670329670332,9.777777777777781e-05,5.71980676328503e-05
20.39835164835165,9.816425120772945e-05,5.758454106280194e-05
20.467032967032967,9.855072463768117e-05,5.642512077294685e-05
20.53571428571429,9.739130434782609e-05,5.719806763285026e-05
20.604395604395606,9.77777777777778e-05,5.6811594202898564e-05
20.673076923076923,9.739130434782608e-05,5.6811594202898564e-05
20.741758241758244,9.739130434782608e-05,5.719806763285028e-05
20.810439560439562,9.739130434782608e-05,5.719806763285028e-05
20.87912087912088,9.739130434782608e-05,5.719806763285028e-05
20.9478021978022,9.739130434782608e-05,5.758454106280194e-05
21.016483516483518,9.739130434782608e-05,5.758454106280194e-05
21.085164835164836,9.77777777777778e-05,5.758454106280194e-05
21.153846153846157,9.77777777777778e-05,5.758454106280196e-05
21.222527472527474,9.777777777777782e-05,5.797101449275362e-05
21.291208791208792,9.826086956521738e-05,5.8357487922705315e-05
21.359890109890113,9.874396135265705e-05,5.874396135265703e-05
21.42857142857143,9.922705314009664e-05,5.874396135265701e-05
