curve,pixel_x,pixel_y,color_distance,time_s,data_value
surface_1_air_C,565,351,12.041594578792296,17.457511896668933,37.242194891201514
surface_1_air_C,566,351,12.041594578792296,17.498300475866756,37.242194891201514
surface_1_air_C,567,351,6.4031242374328485,17.539089055064583,37.242194891201514
surface_1_air_C,568,351,6.164414002968976,17.579877634262406,37.242194891201514
surface_1_air_C,569,351,8.06225774829855,17.620666213460233,37.242194891201514
surface_1_air_C,570,351,13.379088160259652,17.661454792658056,37.242194891201514
surface_1_air_C,571,351,18.275666882497067,17.70224337185588,37.242194891201514
surface_1_air_C,572,351,25.709920264364882,17.743031951053705,37.242194891201514
surface_1_air_C,573,351,42.67317658670374,17.78382053025153,37.242194891201514
surface_1_air_C,541,352,48.774993593028796,16.478585995921144,37.21854304635762
surface_1_air_C,542,352,36.72873534441391,16.519374575118967,37.21854304635762
surface_1_air_C,543,352,39.8622628559895,16.56016315431679,37.21854304635762
surface_1_air_C,544,352,43.04648650006177,16.600951733514616,37.21854304635762
surface_1_air_C,545,352,57.227615711297986,16.64174031271244,37.21854304635762
surface_1_air_C,561,352,44.31703961232068,17.294357579877634,37.21854304635762
surface_1_air_C,562,352,13.379088160259652,17.33514615907546,37.21854304635762
surface_1_air_C,563,352,12.0,17.375934738273283,37.21854304635762
surface_1_air_C,564,352,11.532562594670797,17.416723317471106,37.21854304635762
surface_1_air_C,565,352,13.114877048604,17.457511896668933,37.21854304635762
surface_1_air_C,566,352,11.832159566199232,17.498300475866756,37.21854304635762
surface_1_air_C,567,352,20.46948949045872,17.539089055064583,37.21854304635762
surface_1_air_C,568,352,21.908902300206645,17.579877634262406,37.21854304635762
surface_1_air_C,569,352,15.132745950421556,17.620666213460233,37.21854304635762
surface_1_air_C,570,352,15.132745950421556,17.661454792658056,37.21854304635762
surface_1_air_C,571,352,22.9128784747792,17.70224337185588,37.21854304635762
surface_1_air_C,572,352,30.166206257996713,17.743031951053705,37.21854304635762
surface_1_air_C,573,352,34.713109915419565,17.78382053025153,37.21854304635762
surface_1_air_C,574,352,45.760244754590204,17.824609109449355,37.21854304635762
surface_1_air_C,575,352,56.824290580701486,17.865397688647178,37.21854304635762
surface_1_air_C,540,353,38.28837943815329,16.437797416723317,37.19489120151372
surface_1_air_C,541,353,13.379088160259652,16.478585995921144,37.19489120151372
surface_1_air_C,542,353,7.0,16.519374575118967,37.19489120151372
surface_1_air_C,543,353,4.69041575982343,16.56016315431679,37.19489120151372
surface_1_air_C,544,353,8.48528137423857,16.600951733514616,37.19489120151372
surface_1_air_C,545,353,21.77154105707724,16.64174031271244,37.19489120151372
surface_1_air_C,546,353,56.356011214421486,16.682528891910266,37.19489120151372
surface_1_air_C,561,353,36.11094017053558,17.294357579877634,37.19489120151372
surface_1_air_C,562,353,16.492422502470642,17.33514615907546,37.19489120151372
surface_1_air_C,563,353,19.078784028338912,17.375934738273283,37.19489120151372
surface_1_air_C,564,353,27.586228448267445,17.416723317471106,37.19489120151372
surface_1_air_C,565,353,32.155870381627054,17.457511896668933,37.19489120151372
surface_1_air_C,566,353,45.05552130427524,17.498300475866756,37.19489120151372
surface_1_air_C,568,353,52.43090691567332,17.579877634262406,37.19489120151372
surface_1_air_C,569,353,41.88078318274385,17.620666213460233,37.19489120151372
surface_1_air_C,570,353,32.71085446759225,17.661454792658056,37.19489120151372
surface_1_air_C,571,353,33.19638534539566,17.70224337185588,37.19489120151372
surface_1_air_C,572,353,29.8496231131986,17.743031951053705,37.19489120151372
surface_1_air_C,573,353,25.03996805109783,17.78382053025153,37.19489120151372
surface_1_air_C,574,353,26.5329983228432,17.824609109449355,37.19489120151372
surface_1_air_C,575,353,33.19638534539566,17.865397688647178,37.19489120151372
surface_1_air_C,576,353,47.38143096192854,17.906186267845005,37.19489120151372
surface_1_air_C,538,354,56.868268832451726,16.356220258327667,37.17123935666982
surface_1_air_C,539,354,32.341923257592455,16.397008837525494,37.17123935666982
surface_1_air_C,540,354,12.96148139681572,16.437797416723317,37.17123935666982
surface_1_air_C,541,354,23.790754506740637,16.478585995921144,37.17123935666982
surface_1_air_C,542,354,27.367864366808018,16.519374575118967,37.17123935666982
