scenario,sensor_count,sensor_nodes_1_based,node_1_rmse_C,node_2_rmse_C,node_3_rmse_C,node_4_rmse_C,node_5_rmse_C,mean_node_rmse_C,hotspot_rmse_C,maximum_absolute_error_C,q95_absolute_error_C,hotspot_position_accuracy
combined_mismatch,1,2,0.15276182337926272,0.06352843924676792,0.40824898944968546,0.6798952218391525,0.8188918623875304,0.5151467110690322,0.2000609629080211,1.5282256209155705,1.1687879651415714,0.3172356369691923
combined_mismatch,1,1,0.06078461082723962,0.4396227024251593,0.7622517125289595,0.977861582894573,1.0863540757513521,0.7634617234487927,0.22840841174823234,1.9586995277118788,1.654646119041324,0.4912572855953372
combined_mismatch,2,"1,5",0.05837852763709137,0.2707750524991683,0.3572067027909154,0.2711313715967911,0.05770653103346718,0.23713543575418372,0.05515626252423058,0.7380361223354583,0.5315521356556361,0.9017485428809325
combined_mismatch,2,"2,5",0.19214944429967554,0.06057733706793526,0.1981471012659122,0.20112269162927693,0.056694613273934026,0.15717373362841905,0.07216129013891336,0.47111345597409837,0.361063800877605,0.5945045795170691
combined_mismatch,2,"1,4",0.05749902929595517,0.19932851953349717,0.19465382247318755,0.059642020049505355,0.20388917347990443,0.15878039758781323,0.08574481984058006,0.49485147411586183,0.36772560877725774,0.5653621981681932
combined_mismatch,2,"2,4",0.20586137791399647,0.059248108453579786,0.1106489658008816,0.05840343288054293,0.21247461282046676,0.1460745432785744,0.09259129859122729,0.5192698762064865,0.3371930680773929,0.2514571190674438
combined_mismatch,2,"3,5",0.47489155816081385,0.315210108269757,0.05749138888138508,0.1088534605457631,0.05542692771103687,0.2619564407880138,0.10739796630368705,1.0224576292715,0.6136686089782429,0.5245628642797668
combined_mismatch,2,"3,4",0.47648514723344376,0.31756448074740623,0.05570596984846741,0.0565912860185554,0.22120895823032466,0.27681200367678566,0.12245216213446458,1.029991442860542,0.6156566301585897,0.1765195670274771
combined_mismatch,2,"2,3",0.21258100043191328,0.05765016217868229,0.05621881986646598,0.3277605215415122,0.49144959939008215,0.28306340168692806,0.1391800244965845,0.9945170977491813,0.6373052082939058,0.12656119900083265
combined_mismatch,2,"1,3",0.056377834002566185,0.10662765970401222,0.057867469776411336,0.3297212636049154,0.49566300543874164,0.2728715773666753,0.14134679736705294,0.9842108495696635,0.6314054548718164,0.4571190674437968
combined_mismatch,2,"4,5",0.7706441538939899,0.6432431398672896,0.39108329472589476,0.0591743967009989,0.05402480552864895,0.4831191532465486,0.15467676325546814,1.5222696112451075,1.192370212337943,0.492089925062448
combined_mismatch,2,"1,2",0.055173550868663414,0.06081671219593368,0.4068650603601634,0.6721911452389602,0.8075698595916593,0.5052310331716009,0.1837043636019023,1.5324438089265016,1.1699509441876446,0.4238134887593672
combined_mismatch,3,"1,4,5",0.05758512334336128,0.206644378136285,0.20715208341451116,0.05610584234300376,0.05402417547808364,0.13783788172333422,0.04979140031326201,0.4623253572036461,0.3492845570476945,0.8193172356369692
combined_mismatch,3,"1,2,5",0.05517360457281172,0.057537167452438205,0.20969236557374857,0.20836607212323885,0.05678684094905762,0.13925997686123737,0.05064143200235099,0.47292047827799166,0.35011246076287394,0.8209825145711906
combined_mismatch,3,"1,3,5",0.05651065207403865,0.11840560239632243,0.05492101647922317,0.12059825230674398,0.05559973777010746,0.08702290253413282,0.05099421391211245,0.31233894181678323,0.19438743782723703,0.8417985012489592
combined_mismatch,3,"2,3,5",0.212781438229476,0.057657304765678555,0.05335757052755235,0.12286477117362803,0.05562103625576044,0.11801422562569477,0.06732695478181049,0.514345772562244,0.24766976240360067,0.5104079933388843
combined_mismatch,3,"2,4,5",0.20396355997007504,0.059381349705308104,0.11983837188563753,0.05480285419438851,0.054026546107406155,0.11437721309494991,0.06760366440449395,0.49485437113990827,0.23869868731786004,0.5162364696086594
