scenario,time_s,probability_nominal,probability_capacity_plus_12pct,probability_cooling_minus_15pct,probability_conduction_plus_20pct,probability_combined_mismatch,probability_load_input_minus_10pct
capacity_plus_12pct,707.0,0.17860324115756634,0.07545832068917312,0.00011191398989000217,0.7455918848931564,0.00011255580122136586,0.00012208346899274255
capacity_plus_12pct,708.0,0.17834085075786613,0.07544211893867464,0.00012883378089667552,0.7458524475988492,0.000128055206991173,0.0001076937167221407
capacity_plus_12pct,709.0,0.1781239853959263,0.07499532775268374,0.0001136715401951367,0.7465378841905667,0.00011434318298232702,0.00011478793764590216
capacity_plus_12pct,710.0,0.17790351709730634,0.07474036290775503,0.00010973481913247852,0.7470206602211907,0.00011086925712821226,0.00011485569748722668
capacity_plus_12pct,711.0,0.17801648512067697,0.07461319447478816,9.99962727577706e-05,0.7470283861206258,9.99962727577706e-05,0.0001419417383935142
capacity_plus_12pct,712.0,0.17846144923144822,0.07388040594875327,0.00010359997141736753,0.7473186248704453,0.00010183547989484714,0.00013408449804102864
capacity_plus_12pct,713.0,0.17794275382609734,0.07406144051412843,9.999868661424346e-05,0.7476537434051883,9.999868661424346e-05,0.00014206488135744787
capacity_plus_12pct,714.0,0.177494909058,0.07341399393028683,0.00011581012996800828,0.7487377106663409,0.00011372110719703976,0.00012385510820736576
capacity_plus_12pct,715.0,0.17672015905281774,0.07364138060831135,0.00010654773645980892,0.7492956745958202,0.0001069774923049042,0.00012926051428599093
capacity_plus_12pct,716.0,0.17534919501303525,0.07414714035469769,0.0001218393717599063,0.7501429368251754,0.0001233918096647091,0.00011549662566694845
capacity_plus_12pct,717.0,0.17514383558899538,0.07429183313482272,9.999977685128861e-05,0.7502291916021903,0.00010203584295995722,0.00013310405418027004
capacity_plus_12pct,718.0,0.17556085866856255,0.0738226582859257,9.999747636493769e-05,0.750272037610923,9.999747636493769e-05,0.00014445048185887327
capacity_plus_12pct,719.0,0.17501293563742845,0.07320125311806204,0.00011477119592949298,0.7514311250970124,0.00011301740457857554,0.0001268975469891415
capacity_plus_12pct,720.0,0.17424310297600704,0.0735210343044379,0.00011658589556209408,0.7518795890458059,0.00011627562684156933,0.00012341215134557726
capacity_plus_12pct,721.0,0.1747389708819874,0.07218918783296181,0.00013951208748365327,0.7526945838965823,0.00013355204167009126,0.00010419325931481166
capacity_plus_12pct,722.0,0.17532669240383253,0.07148169292536641,0.00014000727232335976,0.7528186526518081,0.0001320819006792399,0.00010087284599035681
capacity_plus_12pct,723.0,0.1758109358721371,0.07105767546916446,0.0001384749426431148,0.7527633391831144,0.00012957462448565885,9.999990845528966e-05
capacity_plus_12pct,724.0,0.17505569190202613,0.070977259037054,0.00014668472164335795,0.7535827025781842,0.00013766237592485327,9.999938516749156e-05
capacity_plus_12pct,725.0,0.17387285145307155,0.07113496833067359,0.00011974737135457019,0.7546415409772159,0.00011698568217000543,0.00011390618551440392
capacity_plus_12pct,726.0,0.17231937583602158,0.07173612312930049,0.00011756526804533829,0.7555945550253417,0.00011831706878841191,0.00011406367250254372
capacity_plus_12pct,727.0,0.17226251632663314,0.07143869548772759,0.00010495954381456247,0.7559659916296724,0.00010683602215462302,0.000121000989997518
capacity_plus_12pct,728.0,0.1723419418578497,0.07094448345026715,0.00010695093157480128,0.7563823525139213,0.00010803597973270851,0.00011623526665442451
capacity_plus_12pct,729.0,0.17223275863301596,0.07049841207972851,0.00012156261982992469,0.756923392566248,0.00012072188361433876,0.00010315221756330101
capacity_plus_12pct,730.0,0.17139895323238757,0.070751077774604,0.0001107584640433975,0.7575177551388955,0.00011282413362601954,0.00010863125644356628
capacity_plus_12pct,731.0,0.17170195898682153,0.07045376100848305,0.0001320455782910011,0.757481063293736,0.00013117180398362365,9.999932868470593e-05
capacity_plus_12pct,732.0,0.1718692950585523,0.07043022063494339,0.00013569380942497083,0.7573304253630639,0.0001343655265064241,9.999960750888539e-05
capacity_plus_12pct,733.0,0.17087860691373105,0.06977663279813598,0.00011570352607171058,0.7590026995758852,0.00011723155111442682,0.00010912563506169581
capacity_plus_12pct,734.0,0.171104391030998,0.069658082876369,0.00014650731960678316,0.7588468085254966,0.00014421126108701452,9.999898644273881e-05
capacity_plus_12pct,735.0,0.17100673658483903,0.0700969278966633,0.00012682572053792005,0.7585318053038238,0.00012807593664395224,0.00010962855749200861
capacity_plus_12pct,736.0,0.17117922098294341,0.07025250060303165,0.00013958683182091404,0.7581885360547622,0.00013973371441434993,0.00010042181302751892
capacity_plus_12pct,737.0,0.16982824410782496,0.06901277530422996,9.999983897023049e-05,0.7608314398096269,0.00010260804000538394,0.00012493289934274954
capacity_plus_12pct,738.0,0.16973555091336642,0.06895010436372401,0.00011023746986717456,0.7609780245940105,0.00011211408655513351,0.00011396857247684862
capacity_plus_12pct,739.0,0.16934761328636722,0.06846909564379955,0.00011079379807039796,0.7618493187304941,0.00011260937689356385,0.00011056916437510834
capacity_plus_12pct,740.0,0.1698590182228133,0.06952581360314809,0.00011370093190276309,0.7602769744320622,0.00011645800444900836,0.00010803480562467331
capacity_plus_12pct,741.0,0.16978139131903822,0.06969532700279236,9.999973044839036e-05,0.7602022630941734,0.00010198827284930431,0.00011903058069845551
capacity_plus_12pct,742.0,0.17016601780097368,0.07036241868082184,9.999692559903243e-05,0.7591360165907042,9.999692559903243e-05,0.00013555307630228131
capacity_plus_12pct,743.0,0.1711872570714961,0.07167415814469218,9.999704458431429e-05,0.7567848249875124,9.999704458431429e-05,0.00015376570713075693
capacity_plus_12pct,744.0,0.16967428281867328,0.07008679588700695,0.00013643285152666146,0.7598534101951914,0.00013152193156365491,0.00011755631603819388
capacity_plus_12pct,745.0,0.1691255311511438,0.06947260638821413,0.00013015694634714193,0.7610272068332414,0.00012616634899581918,0.0001183323320576731
capacity_plus_12pct,746.0,0.16885016318355942,0.06917203391597113,0.00010965000958045364,0.7616286153942422,0.00010850081272959697,0.00013103668391723828
capacity_plus_12pct,747.0,0.168209796571646,0.06842783435537614,0.00011745066573388736,0.7630087132775498,0.00011524377983203683,0.00012096134986203055
capacity_plus_12pct,748.0,0.16728452054851217,0.06683909410341503,0.00015572512047971857,0.7654740646255145,0.0001465961691128025,9.999943296568262e-05
