scenario_id,purpose,time_s,current_A,stack_voltage_V,ambient_C,fan_duty,T_zone_1_C,T_zone_2_C,T_zone_3_C,T_zone_4_C,T_zone_5_C,Tmax_C,Tmin_C,DeltaT_C,hotspot_zone_zero_based
final_prbs_seed1601,synthetic_final_confirmation,220.0,8.0,30.78,23.0,0.6,28.12085523197051,28.424108011814944,28.816338209361028,29.185353162408376,29.428370085566186,30.047938793093053,27.44158361087756,2.6063551822154913,4
final_prbs_seed1601,synthetic_final_confirmation,240.0,32.0,22.619999999999997,23.0,0.6,28.135535914935602,28.439713778740078,28.83315659440373,29.20330951163575,29.447062379885512,30.068682116331985,27.454425033814598,2.614257082517387,4
final_prbs_seed1601,synthetic_final_confirmation,260.0,32.0,22.619999999999997,23.0,0.6,45.45961211211226,47.47682373332438,50.17304779406294,52.791682355648035,54.59059964985651,57.711478854943934,42.43357326610332,15.27790558884061,4
final_prbs_seed1601,synthetic_final_confirmation,280.0,32.0,22.619999999999997,23.0,0.6,45.5998964485296,47.627822691101194,50.33852500206265,52.97102811105413,54.77904577211987,57.91985665575616,42.556452575320606,15.363404080435558,4
final_prbs_seed1601,synthetic_final_confirmation,300.0,32.0,22.619999999999997,23.0,0.6,45.73559646031629,47.77388243412294,50.498582669102426,53.14449360398966,54.96130889598398,58.12142808559972,42.675303863845215,15.446124221754502,4
final_prbs_seed1601,synthetic_final_confirmation,320.0,24.0,25.34,23.0,0.6,45.86686191753778,47.91516450612698,50.65339830238047,53.31227167667329,55.13759195599425,58.316415561077235,42.790259094987185,15.52615646609005,4
final_prbs_seed1601,synthetic_final_confirmation,340.0,24.0,25.34,23.0,0.6,39.70323193287101,41.016357886219936,42.75660953297947,44.43251928375958,45.570701031194176,47.78433338722118,37.46741764424809,10.316915742973094,4
final_prbs_seed1601,synthetic_final_confirmation,360.0,24.0,25.34,23.0,0.6,39.77889643673949,41.097470924295976,42.84502217667267,44.52788447552143,45.670610167804234,47.8949344211878,37.53366413846426,10.361270282723538,4
final_prbs_seed1601,synthetic_final_confirmation,380.0,24.0,25.34,23.0,0.6,39.85208496402583,41.17592879533854,42.93053944874795,44.62012536128498,45.7672452470045,48.00192757340852,37.59773586735342,10.404191706055101,4
final_prbs_seed1601,synthetic_final_confirmation,400.0,32.0,22.619999999999997,23.0,0.6,39.92287852735363,41.25181840887072,43.013256168477014,44.709344304605864,45.860713572175605,48.105430554919465,37.65970419691465,10.445726358004812,4
