time_s,experiment_T1_C,experiment_T2_C,experiment_T3_C,paper_simulation_T1_C,paper_simulation_T2_C,paper_simulation_T3_C,reference_C
770.0,54.36874805840323,55.1910531220876,56.05063684374029,54.10562286424355,54.955265610438026,56.234855545200375,55.00465983224604
771.0,54.339794967381174,55.18480894687791,56.079589934762346,54.072693383038214,55.00465983224604,56.234855545200375,55.00465983224604
772.0,54.077788132960556,55.16210003106555,56.08375271823548,54.10363466915191,55.014973594283944,56.22454178316247,55.00465983224604
773.0,53.91506679092886,55.13939111525318,56.02395153774464,54.11422802112457,55.00891581236409,56.21621621621622,55.00465983224604
774.0,54.218825722274005,55.13513513513514,55.9004659832246,54.12842497670084,55.02311276794036,56.23466915191054,55.00465983224604
775.0,54.31189810500155,55.05824790307548,55.84808946877913,54.10997204100652,55.00465983224604,56.234855545200375,55.00465983224604
776.0,54.35501708605157,54.83690587138863,55.928673501087296,54.10997204100652,55.00465983224604,56.234855545200375,55.00465983224604
777.0,54.09319664492079,54.78881640260951,55.86989748369059,54.10997204100652,55.00465983224604,56.234855545200375,55.00465983224604
778.0,53.96085740913327,54.81062441752097,55.84342963653309,54.10997204100652,55.00465983224604,56.234855545200375,55.00465983224604
779.0,53.92205653929792,54.821310966138554,55.92712022367195,54.092854923889405,55.00618204411308,56.21621621621622,55.00465983224604
780.0,53.91053122087605,54.96738117427774,56.12488350419386,54.10997204100652,55.0232991612302,56.22180801491147,55.00465983224604
781.0,53.96222429325877,55.21867039453247,56.34669151910531,54.11963342652997,55.01363777570675,56.234855545200375,55.00465983224604
782.0,53.984405094749924,55.1959614787201,56.34669151910531,54.12861136999068,55.0183908045977,56.221124572848716,55.00465983224604
783.0,53.96169617893756,55.137651444548,56.04408201304752,54.12861136999068,55.00549860205033,56.234016775396086,55.00465983224604
784.0,53.793103448275865,55.13513513513514,56.018887853370614,54.10997204100652,54.9892513202858,56.231624728176456,55.00465983224604
785.0,53.83690587138864,55.15703634669152,56.033084808946874,54.10997204100652,55.00465983224604,56.21621621621622,55.00465983224604
786.0,53.91630941286114,55.25927306616961,56.15806150978565,54.10997204100652,54.993289841565705,56.21621621621622,55.00465983224604
787.0,53.92357875116496,55.24113078595837,56.33973283628456,54.10997204100652,55.00146008077043,56.23165579372476,55.00465983224604
788.0,53.922708915812365,55.18931345138241,56.1009009009009,54.12861136999068,55.00465983224604,56.25349487418453,55.00465983224604
789.0,53.9,55.163653308480896,56.02982292637465,54.123671947809875,55.00465983224604,56.24855545200373,55.00465983224604
790.0,53.904318111214664,55.24510717614165,56.04784094439267,54.10997204100652,54.995650823237035,56.22584653619137,55.00465983224604
791.0,54.21130785958371,55.315967691829755,56.08018018018018,54.123050636843736,54.9990990990991,56.22929481205343,55.00465983224604
792.0,54.36794035414725,55.33867660764212,56.102889095992545,54.111463187325256,55.021808014911464,56.21770736253495,55.00465983224604
793.0,54.32848710779746,55.21860826343585,56.15653929791861,54.12861136999068,55.00465983224604,56.2322771046909,55.00465983224604
794.0,54.26312519415968,54.96881018949984,56.35868282075179,54.115315315315314,54.98471575023299,56.21621621621622,55.00465983224604
795.0,53.98881640260952,54.84226467847157,56.196644920782866,54.091332712022364,54.93802423112768,56.205498602050326,55.00465983224604
796.0,53.874743709226465,54.85361913637776,56.07095371233302,54.091332712022364,54.93010251630941,56.19757688723206,55.00465983224604
797.0,53.94287045666356,54.836253494874185,56.08574091332712,54.091550170860515,55.079217148182664,56.19757688723206,55.0232991612302
798.0,53.99813606710158,54.78098788443616,56.08574091332712,54.10997204100652,55.04492078285181,56.19757688723206,55.0232991612302
799.0,53.981422802112455,54.797701149425286,56.08574091332712,54.11832867350108,54.93010251630941,56.20593351972662,55.01494252873564
800.0,53.886300093196645,54.8058403230817,56.09816713264989,54.12861136999068,54.93010251630941,56.21621621621622,55.00465983224604
801.0,53.84902143522833,54.799627213420315,56.112628145386765,54.12861136999068,54.93010251630941,56.232712022367195,55.00465983224604
