object_index,noise_seed,C_th_scale,K_cool_scale,K_node_scale,load_input_scale,coolant_offset_C,single_hotspot_rmse_C,single_mean_node_rmse_C,single_maximum_absolute_error_C,single_q95_absolute_error_C,single_hotspot_position_accuracy,bank_hotspot_rmse_C,bank_mean_node_rmse_C,bank_maximum_absolute_error_C,bank_q95_absolute_error_C,bank_hotspot_position_accuracy,hotspot_improvement_percent
3,4,1.068384984866736,0.9964038772377258,1.015115172182075,0.9550283852769615,1.4669276858965157,0.06035289353159026,0.05654393352800679,0.25,0.10057559242360274,0.9016393442622951,0.06157387740405718,0.052452611487479484,0.25,0.09252869243781425,0.9016393442622951,-2.0230742902621985
3,5,1.068384984866736,0.9964038772377258,1.015115172182075,0.9550283852769615,1.4669276858965157,0.06573528643662563,0.06731672291938817,0.2666077751622282,0.12428284906388573,0.8852459016393442,0.06695123028339554,0.06386103686162195,0.2504911170353097,0.12140102229242164,0.8852459016393442,-1.8497581933292218
3,6,1.068384984866736,0.9964038772377258,1.015115172182075,0.9550283852769615,1.4669276858965157,0.06377094315503082,0.061323739399115666,0.25,0.12166159323456614,0.9672131147540983,0.06585792437471903,0.05755579404843866,0.25,0.11566235543899246,0.9344262295081968,-3.2726209092041225
3,7,1.068384984866736,0.9964038772377258,1.015115172182075,0.9550283852769615,1.4669276858965157,0.06027590927318975,0.061382237155830306,0.25,0.10941280999369953,0.9016393442622951,0.06213510530816604,0.05748511838213604,0.25,0.10432967422072328,0.8688524590163934,-3.084476132163869
3,8,1.068384984866736,0.9964038772377258,1.015115172182075,0.9550283852769615,1.4669276858965157,0.06551078451612635,0.06473383787230778,0.29071518264147045,0.1242207932068212,0.9180327868852459,0.06990262292052306,0.0626150224937148,0.2753970395675722,0.1320772356535116,0.8688524590163934,-6.703992994184944
3,9,1.068384984866736,0.9964038772377258,1.015115172182075,0.9550283852769615,1.4669276858965157,0.0838598657859269,0.08037276317388764,0.2791449756708886,0.1353067672005068,0.9016393442622951,0.08420695411818829,0.07796762481545044,0.279237592814944,0.13544272083228606,0.9016393442622951,-0.41389087498353905
4,0,1.1451777205138427,0.8555763235375091,0.9914544528657525,1.1089912537554572,2.7659749538949576,0.7990477011154516,1.1132804746264016,2.657849599495094,2.338234767408598,0.8852459016393442,0.16868790307171805,0.22145397796405789,0.5343447248911133,0.45627289528346326,0.8524590163934426,78.88888199837962
4,1,1.1451777205138427,0.8555763235375091,0.9914544528657525,1.1089912537554572,2.7659749538949576,0.8040519136215366,1.1168015486544889,2.683884043213858,2.3499036974681418,0.819672131147541,0.1750343560646548,0.22659781602483972,0.5449383710538811,0.4715597721294345,0.8524590163934426,78.23096331227158
4,2,1.1451777205138427,0.8555763235375091,0.9914544528657525,1.1089912537554572,2.7659749538949576,0.7802403647619208,1.0963775510755245,2.649687025651083,2.3062319361687007,0.8688524590163934,0.15386278745734625,0.20434421805285605,0.5139496278947462,0.41664889464493204,0.8688524590163934,80.28007849807985
4,3,1.1451777205138427,0.8555763235375091,0.9914544528657525,1.1089912537554572,2.7659749538949576,0.7987519485910836,1.1089937226010855,2.6805502759517594,2.322501871077705,0.8360655737704918,0.16990840945560803,0.21784404421709322,0.5410904905864129,0.44883365927424435,0.8524590163934426,78.72826354222872
4,4,1.1451777205138427,0.8555763235375091,0.9914544528657525,1.1089912537554572,2.7659749538949576,0.7738183805838214,1.0985596105106086,2.6158204010078236,2.306511780298644,0.8688524590163934,0.14555780445433933,0.20635771794503077,0.492200966819496,0.4087799266670388,0.8852459016393442,81.18966825981562
4,5,1.1451777205138427,0.8555763235375091,0.9914544528657525,1.1089912537554572,2.7659749538949576,0.7997949515067914,1.1106464073918112,2.675829134902223,2.3331363202663056,0.8524590163934426,0.17155113468544686,0.21865230292189908,0.5357488177735092,0.4591505392301685,0.8360655737704918,78.55061045806185
4,6,1.1451777205138427,0.8555763235375091,0.9914544528657525,1.1089912537554572,2.7659749538949576,0.7998780627230917,1.1141088611846917,2.6843253076796216,2.3433856850221533,0.8524590163934426,0.17252415014202227,0.2234031604543786,0.5509823049386071,0.4734474497725302,0.8524590163934426,78.43119368036125
4,7,1.1451777205138427,0.8555763235375091,0.9914544528657525,1.1089912537554572,2.7659749538949576,0.7986135594262194,1.1121454013936583,2.6470088683194035,2.3311444702367443,0.8688524590163934,0.1690302468691861,0.22068090486314085,0.5084642274545175,0.4414253757000126,0.8360655737704918,78.83453832281167
4,8,1.1451777205138427,0.8555763235375091,0.9914544528657525,1.1089912537554572,2.7659749538949576,0.8128977054066091,1.1226870974516905,2.698388461024571,2.3723277821498443,0.8524590163934426,0.1824002859000494,0.2301385306191894,0.5660262185386173,0.4845987886229807,0.8688524590163934,77.56171721399886
4,9,1.1451777205138427,0.8555763235375091,0.9914544528657525,1.1089912537554572,2.7659749538949576,0.7887034127636721,1.1030599288749958,2.656663461614272,2.3298403465434903,0.8688524590163934,0.1590539013548991,0.21257256690153906,0.5208346047695258,0.44611555065526015,0.8360655737704918,79.83349649806091
5,0,1.0772203240262057,0.9645094969646935,1.063768949050878,1.1474710047786392,4.4192395656685,0.8069188777573322,1.0979274252632627,2.590908692489009,2.270922579039608,0.9016393442622951,0.18185878913891032,0.21112674488345876,0.4946564999745746,0.3972874170377538,0.8852459016393442,77.46256852431685
5,1,1.0772203240262057,0.9645094969646935,1.063768949050878,1.1474710047786392,4.4192395656685,0.8101737794770403,1.0980765498851288,2.5830341124637286,2.263651194869026,0.8852459016393442,0.1827154006472999,0.20764992405486765,0.44250798223849586,0.3772617888346133,0.8852459016393442,77.4473816265393
5,2,1.0772203240262057,0.9645094969646935,1.063768949050878,1.1474710047786392,4.4192395656685,0.8004903159828722,1.0908304359180248,2.598905942870303,2.2731439426720574,0.8688524590163934,0.17025759452420197,0.19938910010661415,0.4610285875922955,0.3840993634986205,0.8524590163934426,78.73083644801459
5,3,1.0772203240262057,0.9645094969646935,1.063768949050878,1.1474710047786392,4.4192395656685,0.7908471698434619,1.0909464464096912,2.6065077279236775,2.260428049024982,0.9344262295081968,0.1697539733114872,0.20226227075419248,0.46917635668434343,0.3847695792684959,0.9344262295081968,78.53517344633251
5,4,1.0772203240262057,0.9645094969646935,1.063768949050878,1.1474710047786392,4.4192395656685,0.7992758698472625,1.0995945492032413,2.583617237538647,2.2720069660087248,0.9180327868852459,0.16984570136268493,0.20736293344563717,0.4444439296159146,0.3837307650402039,0.9180327868852459,78.75005267015736
5,5,1.0772203240262057,0.9645094969646935,1.063768949050878,1.1474710047786392,4.4192395656685,0.797532306183639,1.0981812986553277,2.5931375026065453,2.2471868444273984,0.9180327868852459,0.17173140821999838,0.2107928013994833,0.45397915970688985,0.3739023236547155,0.9016393442622951,78.46715338194016
5,6,1.0772203240262057,0.9645094969646935,1.063768949050878,1.1474710047786392,4.4192395656685,0.8064945392888616,1.0966244120191588,2.5548237144121657,2.2280305577819064,0.8852459016393442,0.1797621495604547,0.2090777410648552,0.43125608544762883,0.36115789927734315,0.9016393442622951,77.71067988644255
5,7,1.0772203240262057,0.9645094969646935,1.063768949050878,1.1474710047786392,4.4192395656685,0.7914088292359323,1.088403659443263,2.5740358014882787,2.248123018571408,0.9016393442622951,0.16018824090241382,0.19545305627358514,0.43617216434611095,0.3724811510463156,0.8852459016393442,79.75910364089974
5,8,1.0772203240262057,0.9645094969646935,1.063768949050878,1.1474710047786392,4.4192395656685,0.8056774564338292,1.09470075350131,2.592782159263791,2.272637893661144,0.9016393442622951,0.17687337014836232,0.20368412698471447,0.4645422626496938,0.4000081065399755,0.8852459016393442,78.04662787373286
5,9,1.0772203240262057,0.9645094969646935,1.063768949050878,1.1474710047786392,4.4192395656685,0.7957146637064155,1.091257881891489,2.5630772993935125,2.275860412548406,0.9016393442622951,0.16628477236370123,0.200119266589165,0.43676908613650767,0.3779567465568761,0.8852459016393442,79.10246223323928
6,0,0.9036870389569224,0.8396585652806201,0.8111713329452498,1.0704966704545993,2.2163857774543008,0.7794471608232636,1.0602042172176462,2.4551605912376004,2.140870185547914,0.8688524590163934,0.16132645111885488,0.1814933659971003,0.3825165259122656,0.31032918911802626,0.8524590163934426,79.30245188802029
6,1,0.9036870389569224,0.8396585652806201,0.8111713329452498,1.0704966704545993,2.2163857774543008,0.7821565722384832,1.0575359566231688,2.4379142193208736,2.152098136171175,0.9016393442622951,0.1609677143991671,0.17693668186177894,0.3745409706332836,0.28566663107754525,0.8360655737704918,79.42001382939382
6,2,0.9036870389569224,0.8396585652806201,0.8111713329452498,1.0704966704545993,2.2163857774543008,0.775419841071395,1.0556383415092598,2.4442807335101406,2.1563260873919745,0.8360655737704918,0.15171686615680996,0.17353837701704133,0.34195758481229177,0.2957997194366215,0.8852459016393442,80.43422954625673
6,3,0.9036870389569224,0.8396585652806201,0.8111713329452498,1.0704966704545993,2.2163857774543008,0.7763131076156757,1.0515897145116615,2.4238480291587052,2.1161840267135448,0.8852459016393442,0.1596998291227264,0.1738904577111305,0.3196012277688851,0.26997797467390117,0.8688524590163934,79.42842552108654
6,4,0.9036870389569224,0.8396585652806201,0.8111713329452498,1.0704966704545993,2.2163857774543008,0.7844165627307936,1.0664305151660713,2.4714921031897745,2.193821118715447,0.8688524590163934,0.16233827296828418,0.18373435169150681,0.3908906203666902,0.3469906598129356,0.8360655737704918,79.30458372740944
6,5,0.9036870389569224,0.8396585652806201,0.8111713329452498,1.0704966704545993,2.2163857774543008,0.7754432138291989,1.0543265542950102,2.47174014373833,2.160644751000588,0.8852459016393442,0.15486775102550432,0.17070592358849992,0.3783867756511228,0.31770753500353804,0.8688524590163934,80.02848586929333
6,6,0.9036870389569224,0.8396585652806201,0.8111713329452498,1.0704966704545993,2.2163857774543008,0.774771194564318,1.0526977056169669,2.441038248348157,2.1429122561214897,0.9016393442622951,0.15277642983401118,0.17169233336438425,0.3661106517786834,0.2987729396974103,0.8360655737704918,80.28109061025134
6,7,0.9036870389569224,0.8396585652806201,0.8111713329452498,1.0704966704545993,2.2163857774543008,0.7732501531963134,1.0486507853540756,2.421564441226664,2.1367999175132613,0.9016393442622951,0.14957913841340922,0.16655582710139494,0.3733793452456666,0.30472785781345096,0.9180327868852459,80.65578935935446
6,8,0.9036870389569224,0.8396585652806201,0.8111713329452498,1.0704966704545993,2.2163857774543008,0.7839596328979079,1.054175354872492,2.4366196995700733,2.123310669964019,0.8688524590163934,0.16689997442037502,0.17704795368905327,0.40361712013748274,0.3119813957342416,0.8688524590163934,78.71064179625819
6,9,0.9036870389569224,0.8396585652806201,0.8111713329452498,1.0704966704545993,2.2163857774543008,0.7755983080288715,1.0535420179665163,2.418763649287584,2.135554603329659,0.8360655737704918,0.15609946691020077,0.1735709960104474,0.39339893441520957,0.29108601517281163,0.8524590163934426,79.87367103637493
7,0,0.9893072566408109,0.999612072335536,1.113438520909364,0.9121937099679065,-2.3506866492931255,0.5491168916815351,0.5487539501743629,1.3187943584217763,1.1260093214473004,0.21311475409836064,0.08459954898496486,0.08035227407267724,0.25,0.16855246339560637,0.8688524590163934,84.59352639364278
7,1,0.9893072566408109,0.999612072335536,1.113438520909364,0.9121937099679065,-2.3506866492931255,0.5649677792223209,0.5637200818379493,1.2935302912489135,1.1311949298828736,0.21311475409836064,0.08461748336563639,0.09011658748744071,0.26727080085941424,0.15949601075758155,0.8360655737704918,85.02260014153151
