object_index,noise_seed,final_max_probability,mean_entropy
16,2,0.9996001599360235,0.13394558196423895
16,3,0.9996001599360256,0.12063864847768792
16,4,0.9996001599360219,0.1259566526218351
16,5,0.9996001599360256,0.1168327104640322
16,6,0.9996001599360256,0.13034103201604832
16,7,0.9996001599360242,0.12412658527217442
16,8,0.999600159935997,0.13062281997100988
16,9,0.9996001599360256,0.13474010185945468
17,0,0.9996001599360256,0.09720364053900861
17,1,0.9996001599360256,0.09033829191280829
17,2,0.9996001599360256,0.07714484396365918
17,3,0.9996001599360256,0.09900430797626411
17,4,0.9996001599360256,0.0990551314073669
17,5,0.9996001599360256,0.0862770043684242
17,6,0.9996001599360256,0.09882983999684126
17,7,0.9996001599360256,0.08541071169056774
17,8,0.9996001599360256,0.1036841901554992
17,9,0.9996001599360256,0.08870155054852556
18,0,0.8401253293077043,0.7240188024294046
18,1,0.9763846021066296,0.7247149754913236
18,2,0.9323867191021717,0.6881096250040906
18,3,0.935110931104264,0.6838763882413227
18,4,0.9335520725819653,0.7364238199688643
18,5,0.8184052167613866,0.6959346985077054
18,6,0.9927588079538574,0.7043086636494115
18,7,0.994329834391773,0.7090632689580427
18,8,0.9987927399508437,0.6597239043609605
18,9,0.990782226465622,0.7048158296679443
19,0,0.9996001373302956,0.18705274756395773
19,1,0.9996000986037695,0.22821779529488012
19,2,0.9996001158522811,0.21087608500952212
19,3,0.999600130291256,0.2116728960967435
19,4,0.999381507150343,0.29612020875549433
19,5,0.9996000973495796,0.1714160933701691
19,6,0.9995769000863903,0.2142448693081174
19,7,0.9995973626841842,0.16684923331627288
19,8,0.9996001197594749,0.19847402060212474
19,9,0.9996001191363265,0.22323768825132764
20,0,0.9996001599360256,0.13258865813567614
20,1,0.9996001599360256,0.1449462498908698
20,2,0.9996001599360256,0.1338753601803994
20,3,0.9996001599360256,0.1197617654721931
20,4,0.9996001599360256,0.15433360452455777
20,5,0.9996001599360256,0.1526172623347107
20,6,0.9996001599359191,0.16861463634111823
20,7,0.9996001599360256,0.12569687740741728
20,8,0.9996001599360256,0.1350191081384198
20,9,0.9996001599360256,0.14269151188649357
21,0,0.9996001537490322,0.2500737094662673
21,1,0.9996001199891723,0.3929728765997008
21,2,0.9996001475359066,0.32516961762180524
21,3,0.9996001537063076,0.30286028258835535
21,4,0.9478305760374494,0.21482660176504906
21,5,0.9996001357798484,0.4165943523347205
21,6,0.9996001498554049,0.31186026828724384
21,7,0.9996001522275803,0.320265318332956
21,8,0.9989653507918279,0.3209590817619512
21,9,0.9993281577203392,0.2674174203268892
22,0,0.9996001353913734,0.21372577342296148
22,1,0.9995816375132184,0.1884602494540035
22,2,0.9996001277960066,0.1924654059462434
22,3,0.9992532888466388,0.4435315091986276
22,4,0.9996001368365827,0.3315281264552038
22,5,0.9995768664118392,0.23048882992769723
22,6,0.9994236190448746,0.37228333494317284
22,7,0.9995561273667307,0.37178941645528213
22,8,0.9996001334926583,0.34970429263436026
22,9,0.999600143380388,0.30282604444747
23,0,0.9996001483043511,0.2240648683379404
23,1,0.9996001504586345,0.17625110626358112
23,2,0.9996001293647911,0.2073704304311546
23,3,0.999600149661084,0.2510885293748197
23,4,0.9991313172438924,0.1952564519394907
23,5,0.9996001144360385,0.17604295713714654
23,6,0.999600152328204,0.1744107205841185
23,7,0.9996001475938769,0.1825766312423835
23,8,0.9996001437916532,0.2067530887629413
23,9,0.9996001475940651,0.18634604573547162
24,0,0.999600159936025,0.12427861017882359
24,1,0.9996001599360256,0.11972239761441679
24,2,0.9996001599360256,0.1169467706902069
24,3,0.9996001599360256,0.13561931319373127
24,4,0.9996001599360256,0.14283525326947938
24,5,0.9996001599360238,0.1291507524252871
24,6,0.999600159936013,0.12970640521870117
24,7,0.9996001599360256,0.12115924966937631
24,8,0.9996001599360256,0.12813567119806404
24,9,0.9996001599360256,0.1299442453611447
25,0,0.9996001599360256,0.08269818608161943
25,1,0.9996001599360256,0.07771236390612875
25,2,0.9996001599360256,0.08699743439046922
25,3,0.9996001599360256,0.07375959411087707
25,4,0.9996001599360256,0.08308059794137045
25,5,0.9996001599360256,0.08173686447707627
25,6,0.9996001599360256,0.08081100653976085
25,7,0.9996001599360256,0.07897037561844124
25,8,0.9996001599360256,0.08515419288650239
25,9,0.9996001599360256,0.09155608227448725
26,0,0.9991793607528268,0.4242088864473276
26,1,0.9744088998427268,0.4974642151206931
26,2,0.9566830113260789,0.4072730763010677
26,3,0.9996001306954749,0.3600472665342912
26,4,0.996282661323381,0.43840897988276645
26,5,0.95585421335774,0.5658559282829102
26,6,0.9919810027446424,0.4947432571317117
26,7,0.9996001282553989,0.3230185659641208
26,8,0.9995186850057284,0.39405285487646957
26,9,0.96746783914353,0.27797023527429493
27,0,0.9996001098943443,0.38950260752868804
27,1,0.9995314765410229,0.6019075229400568
27,2,0.9992959160668916,0.27845384557160135
27,3,0.9995968941351228,0.28566845428307525
27,4,0.9995317823550307,0.644986463327826
27,5,0.9988697546777119,0.46278305003092257
27,6,0.9996001124032222,0.38808455742831094
27,7,0.9994449283348708,0.5093699575491935
27,8,0.9996001176642394,0.3590400472995683
27,9,0.9995065776721537,0.3261968279430625
28,0,0.9996001599360256,0.12534280365792022
28,1,0.9996001599360237,0.11047998557653253
28,2,0.9996001599360256,0.1514258695161114
28,3,0.9996001599360256,0.11306348788818005
28,4,0.9996001599360254,0.12289413699741586
28,5,0.9996001599360256,0.12624942723813268
28,6,0.9996001599360256,0.14617128802826776
28,7,0.9996001599360256,0.11863951562368484
28,8,0.9996001599360256,0.159388435367142
28,9,0.9996001599360256,0.11520667828933707
29,0,0.9996001161279456,0.15710857007161771
29,1,0.9996001375604976,0.20867662594141798
29,2,0.9995091460525205,0.21094552083013315
29,3,0.9996001190842959,0.17817290077201572
29,4,0.9996001429964827,0.16573832499933247
29,5,0.9996001014836413,0.1378228625532513
29,6,0.9996001101788614,0.16286565852114637
29,7,0.9996001010981678,0.1963522297843482
29,8,0.9996001237175403,0.16729881202219005
29,9,0.9995878547480567,0.22556982502980835
30,0,0.9996001599347972,0.16875220157384288
30,1,0.9937935692612554,0.1678974610081525
