% Model,Untitled.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 17 2026, 18:13"
% Table,表格 - 
% Time (s),状态变量 s0,状态变量 s1,状态变量 s2,状态变量 s3,状态变量 s4 (W),状态变量 s5 (W/K),状态变量 s6 (W/K),状态变量 s7
700,44.028423218086154,47.74026624098542,51.21852549361631,51.21852549361631,1170.5600000000002,894.1395328514883,276.42044656699727,1.7582622606519533E-6
750,47.52684258333264,52.141829545579036,56.49676520928145,56.49676520928144,1170.5600000000002,1055.2917055570829,115.26817920892387,9.844347428236897E-6
800,47.744686068355605,52.397263371820365,56.787011976787625,56.787011976787625,1365.8400000000001,1064.5034362142692,301.3363721711553,1.4029064580735566E-5
850,51.388979712726325,57.06446505021494,62.45306770235556,62.45306770235557,1365.8400000000001,1235.9378014484112,129.9021805867706,1.3152944853261993E-6
900,51.633381983258815,57.35211916336512,62.78094333874143,62.78094333874144,1572.0000000000002,1246.3202916921196,203.51500426225223,7.7712916059559936
950,55.414476370604646,62.28232127303401,68.83906300326376,68.83906300326376,1572.0000000000002,1427.9998757440042,144.00006582603106,3.7169188972928085E-6
1000,55.68413224446684,62.600945916747364,69.20340705525615,69.20340705525615,1365.8400000000001,1439.5101356673329,-73.66742475623863,1.9847940417818514E-4
1050,52.376191026403774,58.228616345174196,63.78208756989295,63.78208756989295,1365.8400000000001,1277.973864657023,87.86594891535546,1.3649301650013805E-5
1100,52.542013334519964,58.42328067810143,64.00350177735041,64.00350177735041,1170.5600000000002,1284.9956661302365,-114.43562906033883,3.166851542559644E-6
1150,49.25083056581586,54.170235598796516,58.80815990698223,58.80815990698223,1170.5600000000002,1128.4976340412136,42.062359958041625,5.12638810570343E-7
1200,49.33139221005864,54.26362778266406,58.913275845103584,58.913275845103584,986.1600000000002,1131.8564721797795,-145.69299604564645,3.5249190120655553E-4
1250,46.08182668776281,50.15212081907156,53.9629837116769,53.9629837116769,986.1600000000002,981.14972575372,5.010686980518681,4.1852664703390344E-5
1300,46.0929827673629,50.163554879287204,53.97442323644408,53.974423236444096,812.64,981.5479048469167,-168.90734652079587,6.87052225791938E-5
1350,42.90728672069439,46.21257134774331,49.28434227450046,49.28434227450046,812.64,837.2659511758305,-24.625917709743703,4.118193400215492E-6
1400,42.862491009954695,46.158353197491984,49.221130357738076,49.221130357738076,650,835.2957741160959,-81.65886825026497,15.944139363973976
1450,39.76080345924754,42.384265619895444,44.803326349138906,44.803326349138906,650,697.9768062165409,-47.976695747620234,1.699521857727422E-5
1500,39.67149838901819,42.278204467793344,44.68152148778809,44.68152148778809,498.24000000000007,694.1394279367331,-195.89938821493934,7.972421678082152E-6
1550,36.67213796206324,38.69512088534789,40.54536617267216,40.54536617267216,498.24000000000007,564.2389479271691,-65.99879619069429,3.0454494777005737E-5
1600,36.5481698037076,38.54905114966401,40.37868693754491,40.37868693754491,357.36,558.963494361265,-201.60339882867788,2.6732870793523908E-5
1650,33.66780390739597,35.1690272546041,36.53111113605885,36.531111136058854,357.36,436.8620569988178,-79.50193850203273,3.315893919067407E-5
1700,33.517494156485995,34.99288981098287,36.331025475556146,36.331025475556146,227.36,430.50851827658266,-203.14829360104784,9.881928867187868E-5
1750,30.77155803117951,31.826462394145658,32.77716522943477,32.77716522943477,227.36,316.5313220380401,-89.17123319386015,3.907643383631146E-5
1800,30.60203816171256,31.628729206313054,32.553403374550534,32.553403374550534,108.24000000000001,309.4061328746784,-169.1485156985607,29.58020803410722
1850,28.00482032292062,28.68501690292907,29.296714512663915,29.296714512663915,108.24000000000001,203.82664708132717,-95.5865583791034,8.194957849542523E-5
1900,27.822194497170155,28.472891847941927,29.05750654513063,29.05750654513063,0,196.19000890523142,-196.18998987666632,0.001902856510582751
1950,25.387028195767744,25.75983634264917,26.10005435204848,26.10005435204848,0,99.23880602733509,-99.23870641847307,0.009960886200133245
