time_s,experiment_middle_C,experiment_T1_C,experiment_T2_C,paper_simulation_middle_C,paper_simulation_T1_C,paper_simulation_T2_C
274.0,54.87487792207792,55.041875695732834,55.165,55.048701298701296,55.02922077922078,55.00572727272727
275.0,54.97603896103896,54.955913729128014,55.20081168831169,55.048701298701296,55.023924512987016,55.01477272727273
276.0,54.94732987012987,54.95174025974026,55.16233766233766,55.048701298701296,55.01411363636364,55.016675324675326
277.0,54.83047142857143,54.96312987012987,55.1715,55.04545454545455,55.00430275974026,55.020814935064934
278.0,54.697792207792205,54.96418181818182,55.17857142857143,55.043805194805195,54.96321645021644,55.01453246753247
279.0,54.64881818181818,55.05395779220779,55.14503896103896,55.04545454545455,54.803167650531286,55.01434415584416
280.0,54.64363636363637,55.171688311688314,54.93896103896104,55.04220779220779,54.86500590318772,55.006103896103895
281.0,54.61230952380952,55.21612337662337,54.90627272727272,55.035714285714285,54.92684415584415,54.98658441558442
282.0,54.580333333333336,54.64203896103896,54.89531168831169,55.0348961038961,54.988682408500594,54.98294805194805
283.0,54.54835714285714,54.637772727272726,54.999019480519486,55.032467532467535,55.05052066115702,54.96468831168831
284.0,54.51638095238095,55.132077922077926,55.15212987012987,55.033272727272724,55.0551948051948,54.96023376623377
285.0,54.52707792207792,55.355129870129865,55.18383116883117,55.03146103896104,55.05844155844156,54.943798701298704
286.0,54.60376623376623,54.9025974025974,55.1882987012987,55.02922077922078,55.05844155844156,54.94157142857143
287.0,54.63401298701299,54.834266233766236,55.08824675324675,55.02375974025974,55.05622727272727,54.938311688311686
288.0,54.657402597402594,54.81049350649351,54.96838961038961,55.02392207792208,55.05194805194805,54.93950649350649
289.0,54.66285308441558,54.80844155844156,55.08511688311689,55.02255194805195,55.04220779220779,54.944980519480524
290.0,54.668303571428574,54.720876623376626,55.11279220779221,55.01948051948052,55.04220779220779,54.95045454545455
291.0,54.66883116883117,54.689694805194804,55.087240259740256,55.01623376623377,54.993506493506494,54.95779220779221
292.0,54.66883116883117,55.20527272727273,54.83514285714286,55.012623376623374,54.99314285714286,54.967532467532465
293.0,55.27302922077921,55.25770779220779,54.86035714285715,55.00974025974026,54.989188311688316,54.971435064935065
294.0,55.34887012987013,55.24025974025974,54.91862337662338,55.00816883116883,54.97465367965368,54.98701298701299
295.0,55.38042207792208,55.22886363636364,54.99743506493506,55.00918831168831,54.96103896103896,54.98646103896104
296.0,55.369220779220775,54.798233766233764,55.02783116883117,55.006493506493506,54.95779220779221,54.98376623376623
297.0,55.36123671782763,55.27651948051948,55.10972077922078,55.006493506493506,54.9605735930736,54.97551298701299
298.0,55.349344746162934,55.26532467532468,55.15646753246753,55.002506493506495,54.96541847041847,54.963545454545454
299.0,55.337452774498225,55.05687012987013,55.188590909090905,54.996753246753244,54.97026334776335,54.95835064935065
300.0,55.32556080283353,55.119913419913416,55.1012987012987,55.0,54.97987012987013,54.944155844155844
301.0,55.31366883116883,55.18677272727273,55.0138961038961,54.996753246753244,55.00603246753247,54.93413636363636
302.0,55.30177685950413,55.268935064935064,54.889792207792205,54.996753246753244,55.01298701298701,54.92225974025974
303.0,55.289884887839435,55.15737662337662,54.866883116883116,54.996753246753244,55.01623376623377,54.91455844155844
304.0,55.27799291617473,55.022493506493504,54.823662337662334,54.993506493506494,55.01948051948052,54.90797402597403
305.0,55.26584415584416,54.75012987012988,54.814935064935064,54.99025974025974,55.01957792207792,54.9089935064935
306.0,55.419909090909094,55.06774025974026,54.82563636363636,54.98885714285714,55.01948051948052,54.9025974025974
307.0,55.49420779220779,55.17341558441558,54.985298701298696,54.98701298701299,55.01492857142857,54.90453896103896
308.0,55.44820779220781,55.30680519480519,55.077999999999996,54.98701298701299,55.00974025974026,54.90909090909091
309.0,54.84226623376623,55.37557792207792,55.138564935064935,54.98376623376623,54.99370779220779,54.90909090909091
310.0,54.82967532467532,55.38759740259741,55.13487012987013,54.98227272727273,54.964285714285715,54.92181818181818
311.0,54.852474025974026,55.30833441558441,55.09439285714286,54.980045454545454,54.96056493506493,54.922551948051954
312.0,54.88389964580874,55.03138528138528,55.10820779220779,54.97727272727273,54.95431910946197,54.94046753246753
313.0,54.942170306965764,54.89657142857143,55.13636363636363,54.97727272727273,54.943106679035246,54.94011038961039
314.0,55.00044096812279,54.93996103896104,55.13503896103896,54.97468831168831,54.931894248608536,54.95063636363636
315.0,55.05871162927981,55.280681818181826,55.087987012987014,54.976915584415586,54.92857142857143,54.94516233766234
316.0,55.11698229043683,55.24802597402598,54.97792207792208,54.97727272727273,54.929506493506494,54.94805194805195
317.0,55.175252951593855,55.13035281385282,54.8235974025974,54.973175324675324,54.933866883116885,54.94635064935065
318.0,55.233523612750886,54.93558874458874,54.88876623376623,54.967532467532465,54.93822727272727,54.932155844155844
319.0,55.29179427390791,54.74082467532468,55.08638961038961,54.97077922077922,54.942587662337665,54.9210487012987
320.0,55.33662337662338,54.71415584415584,55.0725974025974,54.967532467532465,54.94930735930736,54.914545454545454
321.0,55.33760389610389,54.72396753246753,55.07457792207792,54.967532467532465,54.98701298701299,54.9058051948052
322.0,55.31718181818182,54.80242857142857,55.07990909090909,54.967532467532465,54.98701298701299,54.893857142857144
323.0,55.328476190476195,54.935064935064936,55.12872077922078,54.967532467532465,54.99025974025974,54.88961038961039
324.0,55.3401038961039,55.02251948051948,55.22768831168831,54.958207792207794,54.993506493506494,54.87337662337662
325.0,55.3517316017316,55.083874458874455,55.18344155844156,54.967532467532465,54.993506493506494,54.87662337662338
326.0,55.36335930735931,55.18270995670996,55.14435064935065,54.96245454545454,54.99209090909091,54.88128571428571
327.0,55.3592012987013,54.853974025974026,55.065331168831165,54.964285714285715,54.98701298701299,54.880662337662336
328.0,55.33428571428572,54.83966233766234,55.087038961038964,54.96166233766234,54.98376623376623,54.88961038961039
329.0,55.27425324675325,54.858785714285716,55.149311688311684,54.96103896103896,54.961498376623375,54.90584415584416
330.0,55.33909090909091,55.10441558441558,55.12318181818182,54.96103896103896,54.944220779220785,54.90701298701299
331.0,55.39761038961039,55.27878571428571,55.04113636363637,54.96103896103896,54.94437012987013,54.91514935064935
332.0,55.392857142857146,55.265220779220776,54.98958441558441,54.96103896103896,54.93444805194805,54.920623376623375
333.0,55.38388961038961,55.19311038961039,55.00572077922078,54.96103896103896,54.92354707792208,54.93676623376623
334.0,55.31761038961039,54.886909090909086,55.02823376623377,54.96103896103896,54.9126461038961,54.93855844155844
335.0,55.28799918831169,54.80811688311688,55.02993506493507,54.96301948051948,54.91888528138528,54.940292207792204
336.0,55.378477272727274,54.813857142857145,55.14306493506494,54.96103896103896,54.93341991341991,54.933142857142855
337.0,55.46895535714285,54.795337662337666,55.23376623376623,54.96422727272727,54.94795454545454,54.927035714285715
338.0,55.58550649350649,54.84853246753247,55.23377922077922,54.962116883116884,54.9448051948052,54.917740259740256
339.0,55.28193506493508,55.4448051948052,55.179662337662336,54.967532467532465,54.9448051948052,54.910038961038964
340.0,54.71103896103896,55.403181818181814,55.15025974025974,54.9674025974026,54.953584415584416,54.89324675324676
341.0,54.67178896103896,55.40824675324675,55.205123376623376,54.964285714285715,54.97625844155844,54.90112987012987
342.0,54.61077922077922,54.987376623376626,55.22764935064935,54.968870129870126,54.99025974025974,54.88961038961039
343.0,54.7391493506494,54.98999711399711,55.146422077922075,54.967532467532465,54.993824675324674,54.88248051948052
344.0,54.81618181818186,55.05201154401154,55.05402597402598,54.973324675324676,54.996753246753244,54.88057142857143
345.0,54.640941558441554,55.11402597402597,54.84970779220779,54.972305194805195,54.996753246753244,54.88464285714286
346.0,54.693967532467525,55.16010389610389,54.837155844155845,54.96803896103896,54.99401298701299,54.89509090909091
347.0,55.24880519480519,55.156357142857146,54.82023376623377,54.97675974025974,54.988820037105754,54.8972987012987
348.0,55.25153246753247,55.107220779220775,54.792025974025975,54.97231168831169,54.97387012987013,54.90602597402597
349.0,55.25694074675325,54.972753246753285,54.784324675324676,54.97402597402598,54.95892022263451,54.91372727272727
350.0,55.14030032467532,54.642857142857146,54.846753246753245,54.97694805194805,54.95454545454545,54.927922077922084
351.0,55.02365990259741,55.31627922077922,55.067499999999995,54.97727272727273,54.949965761511216,54.932376623376626
352.0,54.90646753246753,55.317298701298704,55.13636363636363,54.9814025974026,54.945208972845336,54.94420779220779
353.0,54.864045454545455,55.26662077922078,55.132844155844154,54.98998701298701,54.940452184179456,54.95454545454545
354.0,54.86777722277723,55.20034285714286,55.06235064935065,54.9891038961039,54.93569539551358,54.95663636363636
355.0,54.83088161838162,55.17964285714286,55.049772727272725,54.99025974025974,54.94125811688311,54.95779220779221
356.0,54.793986013986014,55.17862337662338,55.05264935064934,54.99025974025974,54.965240259740256,54.951298701298704
357.0,54.75709040959041,55.17435714285714,54.791519480519476,54.99253896103896,54.971746753246755,54.9448051948052
358.0,54.7201948051948,55.19461038961039,54.786779220779216,54.994766233766235,54.97203896103896,54.935064935064936
359.0,54.6832992007992,55.2447077922078,54.83212987012987,54.993746753246754,54.975227272727274,54.93157792207792
360.0,54.646403596403594,55.25402597402598,54.85311688311688,55.002467532467534,55.01883116883117,54.92779220779221
361.0,54.60950799200799,55.24429437229437,54.874474025974024,55.00504545454545,55.02597402597402,54.92422727272727
362.0,54.57261238761239,55.151272727272726,54.80875324675325,55.003246753246756,55.02922077922078,54.912766233766234
363.0,54.53571678321678,55.05825108225108,54.79042857142857,55.005902597402596,55.032467532467535,54.91027272727273
364.0,54.451064935064935,55.11187012987013,54.82631168831169,55.00974025974026,55.035714285714285,54.917194805194804
365.0,54.493506493506494,55.12058441558441,54.83256493506494,55.01298701298701,55.032467532467535,54.92594155844156
366.0,54.55468181818183,55.15667532467533,54.85309090909091,55.01298701298701,54.92723376623376,54.93750649350649
367.0,54.70433116883117,55.256493506493506,54.87195454545454,55.01481168831169,54.870814935064935,54.785935064935046
368.0,55.504883116883114,55.271896103896104,54.86283116883117,55.01948051948052,54.993506493506494,55.111662337662345
369.0,55.58476948051948,55.19648701298701,54.86342207792208,55.02251298701299,54.999785714285714,55.016175324675324
370.0,55.73357142857143,54.871688311688324,54.86006493506494,55.01623376623377,54.993988868274585,54.98006493506494
371.0,55.58618831168832,54.74052597402597,54.90909090909091,55.02272727272727,54.98402226345083,54.991253246753246
372.0,55.48677922077922,54.7272987012987,54.89298701298702,55.029194805194805,54.974055658627094,55.003168831168836
373.0,55.24444155844156,55.07896753246753,54.843714285714285,55.028175324675324,54.97727272727273,55.00753896103896
374.0,55.254428571428576,55.025038961038966,54.76651948051948,55.02922077922078,54.983119480519484,55.005311688311686
375.0,55.25275974025974,54.60081168831169,54.762175324675326,55.035714285714285,55.00230519480519,55.0
376.0,55.27064935064935,54.93099913419913,54.74638961038961,55.03896103896104,55.013844155844154,54.98958441558442
377.0,55.3737012987013,54.96355670995671,54.83137662337662,55.035714285714285,55.01298701298701,54.98802597402597
378.0,55.76807792207792,54.996114285714285,55.032149350649355,55.03896103896104,55.000454545454545,54.97981818181818
379.0,55.698623376623374,55.028671861471864,55.13435714285714,55.044785714285716,55.04195779220778,54.97144805194805
